OrthoGroupID	Description	#Species	#Single-Copy	#Multi-Copy	ProtMedianLength	EvoRate	BiologicalProcesses	InterProDomains
EOG091G0349	"exocyst complex component 8"	295	279	16	685	1.2639	GO:0007032;GO:0022617	IPR001849;IPR011993;IPR016159;IPR032403
EOG091G036A	"Phosphatidylinositol Kinase"	318	287	31	883	0.8473	GO:0006629;GO:0036092;GO:0048015	IPR000008;IPR000403;IPR001263;IPR002420;IPR008290;IPR011009;IPR015433;IPR016024;IPR018936
EOG091G036C	"TBC1 domain family, member 25"	261	244	17	742	1.0512	NA	IPR000195
EOG091G036T	"RAD50 interactor 1"	319	296	23	744	1.3184	GO:0048193	IPR007528
EOG091G038T	"retinoblastoma binding protein 5"	322	292	30	511	0.7672	NA	IPR001680;IPR015943;IPR017986
EOG091G038X	"breast carcinoma amplified sequence 3"	316	278	38	837	1.0904	NA	IPR001680;IPR015943;IPR017986;IPR022175
EOG091G03AN	"UFM1-specific ligase 1"	321	294	27	775	1.2025	GO:0001649;GO:0008284;GO:0010468;GO:0031397;GO:0032088;GO:0032434;GO:0032880;GO:0033146;GO:0034976;GO:0060252;GO:0071569;GO:1902065;GO:1990592	IPR018611
EOG091G03B9	"Cyclophilin-type peptidyl-prolyl cis-trans isomerase"	325	301	24	620	0.8057	GO:0000413;GO:0006464	IPR001680;IPR002130;IPR015943;IPR017986;IPR024936;IPR029000
EOG091G03BV	"transmembrane 9 superfamily member 3"	319	290	29	557	0.6742	NA	IPR004240
EOG091G03C0	"glucuronic acid epimerase"	323	300	23	592	0.9631	GO:0006024;GO:0009058	IPR010598
EOG091G03C7	"electron-transferring-flavoprotein dehydrogenase"	321	290	31	606	0.7364	GO:0055114	IPR007859;IPR017896;IPR023753
EOG091G03D7	"aminoadipate-semialdehyde synthase"	320	291	29	926	0.898	GO:0055114	IPR005097;IPR007698;IPR007886;IPR016040;IPR032095
EOG091G03DT	"de-etiolated homolog 1 (Arabidopsis)"	312	290	22	551	0.9077	NA	IPR019138
EOG091G03FL	"mitochondrial intermediate peptidase"	305	280	25	693	0.9789	GO:0006508	IPR001567;IPR024077;IPR024079;IPR024080
EOG091G03G3	"THO complex 1"	327	304	23	654	1.0619	GO:0006406	IPR000488;IPR011029;IPR021861
EOG091G03H4	"5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase"	314	288	26	590	0.7472	GO:0006164;GO:0009058;GO:0034641;GO:0044281	IPR002695;IPR011607;IPR016193;IPR024050;IPR024051
EOG091G03I1	"SAC1 suppressor of actin mutations 1-like (yeast)"	313	277	36	586	0.9676	NA	IPR002013
EOG091G03JF	"cell division cycle 27"	319	290	29	825	1.0239	NA	IPR001440;IPR011990;IPR013026;IPR019734
EOG091G03JG	"PDX1 C-terminal inhibiting factor 1"	304	282	22	706	0.9398	NA	IPR001202;IPR022035
EOG091G03JX	"mediator complex subunit 17"	324	297	27	642	0.9775	GO:0006367	IPR019313
EOG091G03LI	"SDA1 domain containing 1"	323	297	26	687	0.9631	GO:0030036;GO:0042273	IPR007949;IPR012977;IPR016024;IPR027312
EOG091G03M4	"nucleolar protein 10"	324	304	20	687	0.9442	NA	IPR001680;IPR012580;IPR015943;IPR017986
EOG091G03O0	"component of oligomeric golgi complex 3"	320	293	27	813	1.0656	NA	IPR007265
EOG091G03OT	"Tetratricopeptide repeat"	316	239	77	654	0.8722	NA	IPR011990;IPR013026;IPR013105;IPR019734
EOG091G03P0	"component of oligomeric golgi complex 6"	317	297	20	627	1.0428	GO:0006891	IPR010490
EOG091G03PD	"Protein arginine N-methyltransferase"	268	241	27	627	0.9951	GO:0006464;GO:0006479;GO:0035246	IPR007857;IPR025799;IPR029063
EOG091G03QC	"mitochondrial translational initiation factor 2"	313	280	33	704	1.0429	NA	IPR000178;IPR000795;IPR005225;IPR009000;IPR023115;IPR027417
EOG091G03RW	"exocyst complex component 5"	322	292	30	708	0.9813	GO:0048278	IPR009976
EOG091G03SE	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 6"	323	299	24	389	0.7436	NA	IPR000717;IPR011990;IPR011991;IPR019585
EOG091G03TX	"coatomer protein complex, subunit beta 1"	326	299	27	953	0.7455	NA	IPR002553;IPR011710;IPR011989;IPR016024;IPR016460;IPR029446
EOG091G03TZ	"MIF4G-like domain"	304	280	24	772	1.1616	NA	IPR003890;IPR003891;IPR016021;IPR016024
EOG091G03X8	"codanin 1"	297	274	23	1143	1.5306	GO:0006325;GO:0008104;GO:0008156;GO:0031497	IPR028171
EOG091G03XO	"tyrosyl-tRNA synthetase"	306	290	16	528	0.7987	GO:0006399;GO:0006418;GO:0006437;GO:0034641;GO:0044281	IPR002305;IPR002307;IPR002547;IPR012340;IPR014729
EOG091G03XS	"Copper type II ascorbate-dependent monooxygenase, C-terminal"	297	279	18	596	1.07	GO:0055114	IPR000323;IPR000945;IPR005018;IPR008977;IPR014784;IPR020611;IPR024548;IPR028460
EOG091G03Y8	"chromosome 10 open reading frame 2"	312	297	15	629	1.0129	NA	IPR007694;IPR027032;IPR027417
EOG091G03Z1	"asunder spermatogenesis regulator"	318	290	28	698	0.9969	GO:0007052;GO:0007346;GO:0051642;GO:0090435	IPR019355
EOG091G03ZS	"Radical SAM"	306	278	28	547	0.6357	NA	IPR000182;IPR005910;IPR006638;IPR007197;IPR016181;IPR023404;IPR032432
EOG091G040D	"methyltransferase like 13"	304	271	33	673	1.1323	GO:0008152;GO:0032259	IPR013216;IPR029063
EOG091G040G	"crooked neck pre-mRNA splicing factor 1"	316	283	33	687	0.735	GO:0034641	IPR003107;IPR011990;IPR013026
EOG091G040L	"Pyridoxal phosphate-dependent transferase"	325	293	32	553	0.9491	GO:0019752	IPR002129;IPR015421;IPR015424
EOG091G046H	"USO1 vesicle transport factor"	311	281	30	872	0.9381	GO:0048193;GO:0048280	IPR000225;IPR006953;IPR006955;IPR016024;IPR024095
EOG091G046Y	"negative elongation factor complex member C/D"	318	282	36	578	0.8007	NA	IPR006942
EOG091G048B	"protein O-fucosyltransferase 1"	309	286	23	388	0.9985	GO:0001525;GO:0001756;GO:0006493;GO:0007399;GO:0036066	IPR019378
EOG091G0495	"zinc finger, RAN-binding domain containing 1"	295	255	40	711	0.9794	NA	IPR001876;IPR003323
EOG091G049W	"lin-9 DREAM MuvB core complex component"	314	280	34	547	1.0411	GO:0007049;GO:0009058;GO:0034641	IPR010561
EOG091G04CK	"digestive organ expansion factor homolog (zebrafish)"	320	304	16	749	1.0836	NA	IPR010678;IPR027417
EOG091G04D1	"Vacuolar sorting protein 39/Transforming growth factor beta receptor-associated domain 1"	322	297	25	875	1.074	NA	IPR000547;IPR001180;IPR017986;IPR019452;IPR019453
EOG091G04EX	"replication factor C (activator 1) 1, 145kDa"	320	284	36	1038	1.0826	GO:0006281;GO:0009058;GO:0034641	IPR001357;IPR003593;IPR003959;IPR008921;IPR012178;IPR013725;IPR027417
EOG091G04FV	"SMG8 nonsense mediated mRNA decay factor"	316	301	15	908	1.2669	GO:0000184	IPR019354;IPR028802
EOG091G04GK	"PDZ domain containing 8"	301	280	21	1037	1.4552	NA	IPR001478;IPR002219
EOG091G04GW	"phenylalanyl-tRNA synthetase, beta subunit"	322	302	20	589	0.8411	GO:0006399;GO:0006432;GO:0034641;GO:0044281	IPR004531;IPR005146;IPR005147;IPR009061;IPR020825
EOG091G04IK	"Signal recognition particle, SRP72 subunit"	316	290	26	656	1.0726	GO:0006605;GO:0006614	IPR011990;IPR013026;IPR013699;IPR019734;IPR026270;IPR031545
EOG091G04JK	"neurochondrin"	293	277	16	729	1.4039	GO:0031175;GO:0045453	IPR008709;IPR016024
EOG091G04LC	"NOC2-like nucleolar associated transcriptional repressor"	311	279	32	726	1.183	NA	IPR005343;IPR016024
EOG091G04MA	"TROVE domain family, member 2"	307	284	23	538	1.4352	NA	IPR002035;IPR008858
EOG091G04RS	"tetratricopeptide repeat domain 26"	316	286	30	552	0.8465	GO:0042384	IPR011990;IPR013026;IPR030511
EOG091G04WH	"negative elongation factor complex member B"	302	278	24	580	0.9153	NA	IPR010405
EOG091G050A	"Crm, cramped-like (Drosophila)"	308	271	37	996	1.1679	NA	IPR001005;IPR017884
EOG091G050Q	"Ras-related GTP binding B"	318	237	81	313	0.6272	NA	IPR006762;IPR027417
EOG091G0525	"NOP9 nucleolar protein"	262	247	15	617	1.6386	NA	IPR001313;IPR011989;IPR016024
EOG091G0530	"Aminoacyl-tRNA synthetase, class II (D/K/N)"	324	306	18	501	0.7361	GO:0006399;GO:0006418;GO:0006422;GO:0034641;GO:0044281	IPR002312;IPR004364;IPR004365;IPR004523;IPR006195;IPR012340;IPR018150
EOG091G053A	"tRNA-splicing ligase, RtcB"	310	285	25	505	0.6242	GO:0006388;GO:0034641	IPR001233;IPR027513
EOG091G053D	"Dephospho-CoA kinase"	279	261	18	524	1.182	GO:0009058;GO:0034641;GO:0044281;GO:0051186	IPR001977;IPR004821;IPR014729;IPR027417
EOG091G053R	"minichromosome maintenance complex component 10"	320	296	24	801	1.4148	GO:0009058;GO:0034641	IPR015408;IPR015411
EOG091G054P	"hdc homolog, cell cycle regulator"	318	278	40	454	0.9873	NA	IPR026066;IPR031947
EOG091G0554	"excision repair cross-complementation group 4"	307	284	23	899	1.12	GO:0006281;GO:0006950;GO:0034641	IPR006166;IPR006167;IPR010994;IPR011335;IPR020819
EOG091G057L	"G patch domain containing 1"	319	295	24	918	1.3605	NA	IPR000467;IPR011666
EOG091G059G	"splicing factor 3a, subunit 3, 60kDa"	307	287	20	500	0.7595	NA	IPR000690;IPR015880;IPR021966;IPR024598;IPR031774;IPR031776
EOG091G05AA	"Dihydrolipoyl dehydrogenase"	315	288	27	506	0.7201	GO:0042592;GO:0055114	IPR004099;IPR006258;IPR012999;IPR016156;IPR023753
EOG091G05AH	"WD40 repeat"	305	291	14	504	0.753	GO:0016567	IPR001680;IPR003613;IPR013083;IPR013915;IPR015943;IPR017986;IPR019775;IPR020472
EOG091G05CI	"Zinc finger, RING-type"	294	277	17	749	1.2225	GO:0051865	IPR001841;IPR013083;IPR017907
EOG091G05D7	"solute carrier family 4 (anion exchanger), member 1, adaptor protein"	316	290	26	678	1.2289	NA	IPR000253;IPR008984;IPR014720
EOG091G05EU	"cell division cycle 45"	323	300	23	566	1.1138	GO:0034641	IPR003874
EOG091G05FE	"chromosome 18 open reading frame 8"	320	299	21	637	1.0793	NA	IPR009755
EOG091G05GZ	"COG complex component, COG2"	318	297	21	714	1.3404	GO:0006891;GO:0007030	IPR009316;IPR024602;IPR024603
EOG091G05IH	"nucleoporin 85kDa"	311	290	21	649	1.2798	GO:0006935;GO:0030032;GO:0048246	IPR011502
EOG091G05IK	"integrin-linked kinase"	293	259	34	449	0.7907	GO:0006464;GO:0006468;GO:0007229	IPR000719;IPR001245;IPR002110;IPR011009;IPR020683
EOG091G05K5	"Ribophorin I"	318	290	28	538	0.9476	GO:0005975;GO:0006464;GO:0006486	IPR007676
EOG091G05K7	"anaphase promoting complex subunit 5"	312	276	36	740	1.3506	NA	IPR011990;IPR026000
EOG091G05KR	"Aminoacyl-tRNA synthetase, class II"	297	251	46	501	0.742	GO:0006399;GO:0006418;GO:0006434;GO:0034641;GO:0044281	IPR002314;IPR002317;IPR006195;IPR010978;IPR015866
EOG091G05LX	"cytochrome b5 reductase 4"	314	289	25	520	1.3207	GO:0055114	IPR001199;IPR001433;IPR001834;IPR007052;IPR008333;IPR008978;IPR017927;IPR017938;IPR018506
EOG091G05N4	"ER membrane protein complex subunit 1"	308	285	23	941	1.1701	NA	IPR011047;IPR011678;IPR026895;IPR027295
EOG091G05NK	"RNA binding motif protein 25"	320	269	51	829	0.8123	GO:0006397	IPR000504;IPR002483;IPR012677
EOG091G05NZ	"Leucine-rich repeat"	325	305	20	582	0.8148	GO:0046579	IPR001611;IPR003591;IPR032675
EOG091G05OR	"Sec1-like protein"	314	301	13	568	0.8859	GO:0006904	IPR001619;IPR027482
EOG091G05OW	"Signal recognition particle, SRP54 subunit"	324	300	24	504	0.6455	GO:0006605;GO:0006614	IPR000897;IPR003593;IPR004125;IPR006325;IPR013822;IPR022941;IPR027417
EOG091G05Q0	"NUDIX hydrolase domain"	316	298	18	420	0.9307	NA	IPR000086;IPR007722;IPR015797;IPR020084
EOG091G05Q6	"DNA polymerase epsilon, subunit B"	314	294	20	521	1.0877	GO:0009058;GO:0034641	IPR007185;IPR016266;IPR024639
EOG091G05RA	"solute carrier family 25, member 46"	300	285	15	409	1.0651	NA	IPR018108;IPR023395
EOG091G05SE	"catenin, beta like 1"	317	293	24	563	0.8476	NA	IPR011989;IPR013180;IPR016024
EOG091G05T4	"Sodium/hydrogen exchanger"	316	296	20	583	0.8204	GO:0006811;GO:0006885;GO:0055085	IPR004709;IPR006153;IPR018409;IPR018422
EOG091G05TG	"signal recognition particle receptor (docking protein)"	312	290	22	625	0.8577	GO:0006605;GO:0006614	IPR000897;IPR003593;IPR007222;IPR011012;IPR013822;IPR027417
EOG091G05UF	"TBC1 domain family, member 19"	311	287	24	509	1.0165	NA	IPR000195
EOG091G05X1	"component of oligomeric golgi complex 7"	317	287	30	735	1.3063	NA	IPR019335
EOG091G05XY	"tRNA methyltransferase 44 homolog (S. cerevisiae)"	313	299	14	581	1.2022	GO:0032259	IPR000571;IPR011671;IPR029063
EOG091G05YC	"membrane-bound transcription factor peptidase, site 2"	290	279	11	498	1.3412	GO:0006508	IPR001193;IPR001478;IPR008915
EOG091G05ZE	"Pescadillo"	302	268	34	585	0.9873	GO:0000463;GO:0000466	IPR001357;IPR010613
EOG091G05ZJ	"phosphatidylinositol glycan anchor biosynthesis, class V"	284	268	16	493	1.3816	GO:0006464;GO:0006629;GO:0009058	IPR007315
EOG091G060D	"phosphatidylinositol glycan anchor biosynthesis, class A"	311	295	16	460	0.8427	GO:0006464;GO:0006629;GO:0009058	IPR001296;IPR013234
EOG091G0627	"RUN domain containing 1"	318	297	21	569	1.2025	GO:0048812	IPR004012
EOG091G0628	"Ubiquitin-like modifier-activating enzyme Atg7"	306	278	28	686	1.1111	GO:0032446	IPR000594;IPR006285;IPR016040;IPR032197
EOG091G062X	"lysophosphatidylcholine acyltransferase 3"	316	295	21	469	1.1795	NA	IPR004299
EOG091G065D	"phosphoglucomutase 3"	320	296	24	542	0.935	GO:0005975;GO:0071704	IPR005843;IPR005844;IPR016055;IPR016066;IPR016657
EOG091G066W	"Pyridoxal phosphate-dependent transferase"	313	287	26	784	1.2884	GO:0019752;GO:0044281	IPR002129;IPR015421;IPR015422;IPR015424
EOG091G069C	"ash2 (absent, small, or homeotic)-like (Drosophila)"	321	294	27	556	0.9029	GO:0051568	IPR001870;IPR003877;IPR013320
EOG091G06CB	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 12"	312	298	14	456	0.8465	NA	IPR000717;IPR011991
EOG091G06DH	"phosphatidylinositol glycan anchor biosynthesis, class T"	326	309	17	576	1.0773	GO:0006464;GO:0016255	IPR007245
EOG091G06EF	"aarF domain containing kinase 1"	319	302	17	519	0.9495	GO:0006468	IPR000719;IPR004147;IPR011009
EOG091G06HP	"The Golgi pH regulator/GPCR-type G protein"	317	286	31	452	0.79	NA	IPR015672;IPR022535;IPR025969
EOG091G06I3	"kinesin-associated protein 3"	306	266	40	788	1.0667	NA	IPR000225;IPR008658;IPR011989;IPR016024
EOG091G06I8	"protein phosphatase 2, regulatory subunit B'', gamma"	297	277	20	446	0.7783	GO:0001782;GO:0002759;GO:0032147;GO:0043029;GO:0045579;GO:0048536;GO:0050864;GO:0051900	IPR011992;IPR018247
EOG091G06J6	"serrate, RNA effector molecule"	275	239	36	872	1.0374	GO:0031053	IPR007042;IPR012677;IPR021933
EOG091G06JJ	"hepatocyte growth factor-regulated tyrosine kinase substrate"	284	262	22	765	0.9632	NA	IPR000306;IPR002014;IPR003903;IPR008942;IPR011011;IPR013083;IPR017073;IPR017455;IPR018205;IPR024641
EOG091G06LW	"Pyridoxal phosphate-dependent transferase"	296	275	21	488	0.9116	NA	IPR005814;IPR015421;IPR015422;IPR015424
EOG091G06M8	"eukaryotic translation initiation factor 3, subunit L"	316	290	26	539	0.8344	NA	IPR011990;IPR019382
EOG091G06MR	"ubiquitin specific peptidase 14 (tRNA-guanine transglycosylase)"	317	286	31	490	0.8871	GO:0006511;GO:0009056	IPR000626;IPR001394;IPR018200;IPR019954;IPR028889;IPR029071
EOG091G06OM	"L-2-hydroxyglutarate dehydrogenase"	316	291	25	439	0.9049	GO:0055114	IPR006076;IPR023753
EOG091G06ON	"RIO kinase 2"	317	297	20	533	0.9271	GO:0006468	IPR011009;IPR011991;IPR015285;IPR018935;IPR030484
EOG091G06OP	"general transcription factor IIH, polypeptide 1, 62kDa"	321	302	19	548	1.0213	NA	IPR005607;IPR011993;IPR013876;IPR027079
EOG091G06P4	"MRE11 homolog A, double strand break repair nuclease"	314	291	23	654	1.066	GO:0006302;GO:0006950;GO:0034641;GO:0090305	IPR003701;IPR004843;IPR007281;IPR029052
EOG091G06QP	"KIAA0020"	310	291	19	645	1.3612	NA	IPR001313;IPR011989;IPR012959;IPR016024
EOG091G06S3	"adenylosuccinate lyase"	315	289	26	481	0.7619	GO:0009152	IPR000362;IPR004769;IPR008948;IPR019468;IPR020557;IPR022761;IPR024083
EOG091G06U0	"ubiquitin specific peptidase 39"	298	274	24	500	0.7355	GO:0006511;GO:0009056	IPR001394;IPR001607;IPR013083;IPR015880;IPR028889
EOG091G06XK	"phosphatidylinositol glycan anchor biosynthesis, class S"	259	244	15	544	1.2765	GO:0016255	IPR019540
EOG091G06Y3	"N(alpha)-acetyltransferase 35, NatC auxiliary subunit"	301	270	31	725	1.0133	GO:0048659	IPR007244
EOG091G06Y7	"solute carrier family 33 (acetyl-CoA transporter), member 1"	312	289	23	525	0.939	NA	IPR020846;IPR024371
EOG091G06YD	"acylglycerol kinase"	314	291	23	420	1.3064	NA	IPR001206;IPR016064
