component_number	matrix	partition_name	edges	nodes_in_component	component_density	BUSCO_ID	BUSCO_description	SwissProt_accession	SwissProt_description	GO_annotations	ribo_found
1	Simion2017	V2META10174-2-42-Calc_Hmm10-BMGE05	1	24	0.21739130434782608			E9Q4Z2.1	RecName: Full=Acetyl-CoA carboxylase 2; AltName: Full=ACC-beta; Includes: RecName: Full=Biotin carboxylase; Flags: Precursor	GO:0012505; GO:0016020; GO:0005739; GO:0005634; GO:0003989; GO:0005524; GO:0009374; GO:0004075; GO:0042802; GO:0046872; GO:0006084; GO:0097009; GO:0006633; GO:2001295; GO:0043086; GO:0031999; GO:0046322; GO:0010629; GO:0050995; GO:0060421; GO:0010884; GO:0051289; GO:0010906; GO:0042493; GO:0031667; GO:0014070	False
1	Chang2015	rpl5	6	24	0.21739130434782608			O44248.3	RecName: Full=60S ribosomal protein L5	GO:0022625; GO:0005634; GO:0008097; GO:0003735; GO:0000027; GO:0006412	True
1	Hejnol2009	Tribe2313_0	2	24	0.21739130434782608	EOG091G06U0	ubiquitin specific peptidase 39	Q3TIX9.2	RecName: Full=U4/U6.U5 tri-snRNP-associated protein 2; AltName: Full=Inactive ubiquitin-specific peptidase 39	GO:0005654; GO:0005634; GO:0005681; GO:0046540; GO:0036459; GO:0008270; GO:0007049; GO:0051301; GO:0000398; GO:0016579; GO:0000245	False
1	Ryan2013_est	gene71	5	24	0.21739130434782608			Q5R947.2	RecName: Full=U3 small nucleolar ribonucleoprotein protein IMP4; Short=U3 snoRNP protein IMP4	GO:0001650; GO:0034457; GO:0006364	False
1	Simion2017	V2META15349-42-Calc_Hmm10-BMGE05	4	24	0.21739130434782608	EOG091G0CQ2	ribosome production factor 1 homolog	Q5RJS9.2	RecName: Full=Ribosome production factor 1; AltName: Full=Brix domain-containing protein 5; AltName: Full=Ribosome biogenesis protein RPF1	GO:0005730; GO:0030687; GO:0003723; GO:0019843; GO:0006364	False
1	Philippe2009	Gene_0085	6	24	0.21739130434782608			P15125.2	RecName: Full=60S ribosomal protein L5-A	GO:0005730; GO:0005840; GO:0008097; GO:0003735; GO:0006412	True
1	Ryan2013_est	gene103	4	24	0.21739130434782608	EOG091G0CQ2	ribosome production factor 1 homolog	Q5R631.1	RecName: Full=Ribosome production factor 1; AltName: Full=Brix domain-containing protein 5; AltName: Full=Ribosome biogenesis protein RPF1	GO:0005730; GO:0003723; GO:0019843; GO:0006364	False
2	Whelan2017_full	Subset29_02	2	3	1.0	EOG091G10O5	NMD3 ribosome export adaptor	Q6P2Z6.1	RecName: Full=60S ribosomal export protein NMD3	GO:0005737; GO:0005730; GO:0005654; GO:0005634; GO:0043023; GO:0000055	False
2	Hejnol2009	Tribe1717_0	2	3	1.0	EOG091G10O5	NMD3 ribosome export adaptor	Q96D46.1	RecName: Full=60S ribosomal export protein NMD3; Short=hNMD3	GO:0005737; GO:0016020; GO:0005730; GO:0005654; GO:0005634; GO:0030674; GO:0043023; GO:0003723; GO:0032092; GO:1904751; GO:1902680; GO:0000055	False
2	Simion2017	V2META13679-42-Calc_Hmm10-BMGE05	2	3	1.0	EOG091G10O5	NMD3 ribosome export adaptor	Q96D46.1	RecName: Full=60S ribosomal export protein NMD3; Short=hNMD3	GO:0005737; GO:0016020; GO:0005730; GO:0005654; GO:0005634; GO:0030674; GO:0043023; GO:0003723; GO:0032092; GO:1904751; GO:1902680; GO:0000055	False
3	Simion2017	V2META13838-42-Calc_Hmm10-BMGE05	4	5	1.0			A9UNU6.1	RecName: Full=Bystin	GO:0005737; GO:0005730; GO:0005634; GO:0030688; GO:0030515; GO:0006364	False
3	Hejnol2009	Tribe1748_0	4	5	1.0			A7S7F2.1	RecName: Full=Bystin	GO:0005737; GO:0005730; GO:0005634; GO:0030688; GO:0030515; GO:0006364	False
3	Borowiec2015_Total1080	OG438.fasta.aln_gene498	4	5	1.0	EOG091G08JE	bystin-like				
3	Whelan2017_full	Subset29_05	4	5	1.0			A9UNU6.1	RecName: Full=Bystin	GO:0005737; GO:0005730; GO:0005634; GO:0030688; GO:0030515; GO:0006364	False
3	Borowiec2015_Best108	OG438.fasta.aln_gene53	4	5	1.0	EOG091G08JE	bystin-like	Q5E9N0.1	RecName: Full=Bystin	GO:0045177; GO:0005737; GO:0005730; GO:0005634; GO:0030688; GO:0030515; GO:0008283; GO:0000462; GO:0006364; GO:0001829	False
4	Whelan2017_full	Subset4_21	2	3	1.0			Q91WF7.1	RecName: Full=Polyphosphoinositide phosphatase; AltName: Full=Phosphatidylinositol 3,5-bisphosphate 5-phosphatase; AltName: Full=SAC domain-containing protein 3	GO:0005783; GO:0010008; GO:0005794; GO:0043231; GO:0005811; GO:0055037; GO:0034593; GO:0004438; GO:0043812; GO:0007626; GO:0032288; GO:0031642; GO:0048666; GO:0046488; GO:0043473; GO:0010976; GO:0007033	False
4	Moroz2014_3d	1019	2	3	1.0			Q91WF7.1	RecName: Full=Polyphosphoinositide phosphatase; AltName: Full=Phosphatidylinositol 3,5-bisphosphate 5-phosphatase; AltName: Full=SAC domain-containing protein 3	GO:0005783; GO:0010008; GO:0005794; GO:0043231; GO:0005811; GO:0055037; GO:0034593; GO:0004438; GO:0043812; GO:0007626; GO:0032288; GO:0031642; GO:0048666; GO:0046488; GO:0043473; GO:0010976; GO:0007033	False
4	Simion2017	V2META10342-1-1-42-Calc_Hmm10-BMGE05	2	3	1.0			Q91WF7.1	RecName: Full=Polyphosphoinositide phosphatase; AltName: Full=Phosphatidylinositol 3,5-bisphosphate 5-phosphatase; AltName: Full=SAC domain-containing protein 3	GO:0005783; GO:0010008; GO:0005794; GO:0043231; GO:0005811; GO:0055037; GO:0034593; GO:0004438; GO:0043812; GO:0007626; GO:0032288; GO:0031642; GO:0048666; GO:0046488; GO:0043473; GO:0010976; GO:0007033	False
5	Whelan2017_full	Subset2_20	3	4	1.0			Q32L22.1	RecName: Full=DNA-directed RNA polymerases I and III subunit RPAC1; Short=DNA-directed RNA polymerase I subunit C; Short=RNA polymerases I and III subunit AC1	GO:0005736; GO:0005666; GO:0003677; GO:0003899; GO:0046983; GO:0006360; GO:0006383	False
5	Simion2017	V2META11108-42-Calc_Hmm10-BMGE05	3	4	1.0			Q32L22.1	RecName: Full=DNA-directed RNA polymerases I and III subunit RPAC1; Short=DNA-directed RNA polymerase I subunit C; Short=RNA polymerases I and III subunit AC1	GO:0005736; GO:0005666; GO:0003677; GO:0003899; GO:0046983; GO:0006360; GO:0006383	False
5	Chang2015	tribe1381	3	4	1.0			P52432.3	RecName: Full=DNA-directed RNA polymerases I and III subunit RPAC1; Short=DNA-directed RNA polymerase I subunit C; Short=RNA polymerases I and III subunit AC1; AltName: Full=AC40; AltName: Full=DNA-directed RNA polymerases I and III 40 kDa polypeptide; Short=RPA40; AltName: Full=RPC40	GO:0005654; GO:0005634; GO:0005736; GO:0005666; GO:0003677; GO:0003899; GO:0046983; GO:0006360; GO:0006383	False
5	Hejnol2009	Tribe1899_0	3	4	1.0			O15160.1	RecName: Full=DNA-directed RNA polymerases I and III subunit RPAC1; Short=DNA-directed RNA polymerase I subunit C; Short=RNA polymerases I and III subunit AC1; AltName: Full=AC40; AltName: Full=DNA-directed RNA polymerases I and III 40 kDa polypeptide; Short=RPA40; AltName: Full=RPA39; AltName: Full=RPC40	GO:0005829; GO:0005654; GO:0005634; GO:0005736; GO:0005666; GO:0003677; GO:0003899; GO:0046983; GO:0045815; GO:0006363; GO:0006360; GO:0006383; GO:0006361	False
6	Whelan2015_D1	Gene_0443	5	8	0.8928571428571429			P49247.3	RecName: Full=Ribose-5-phosphate isomerase; AltName: Full=Phosphoriboisomerase	GO:0005829; GO:0043231; GO:0042802; GO:0048029; GO:0004751; GO:0006014; GO:0006098; GO:0009052	False
6	Whelan2015_D20	Gene_0443	5	8	0.8928571428571429			P49247.3	RecName: Full=Ribose-5-phosphate isomerase; AltName: Full=Phosphoriboisomerase	GO:0005829; GO:0043231; GO:0042802; GO:0048029; GO:0004751; GO:0006014; GO:0006098; GO:0009052	False
6	Hejnol2009	Tribe1932_0	7	8	0.8928571428571429	EOG091G0FQ2	ribose 5-phosphate isomerase A	A2TLM1.1	RecName: Full=Ribose-5-phosphate isomerase; AltName: Full=Phosphoriboisomerase	GO:0043231; GO:0004751; GO:0006014; GO:0009052	False
6	Whelan2017_full	Subset30_02	7	8	0.8928571428571429	EOG091G0FQ2	ribose 5-phosphate isomerase A	A2TLM1.1	RecName: Full=Ribose-5-phosphate isomerase; AltName: Full=Phosphoriboisomerase	GO:0043231; GO:0004751; GO:0006014; GO:0009052	False
6	Whelan2015_D10	Gene_0443	5	8	0.8928571428571429			P49247.3	RecName: Full=Ribose-5-phosphate isomerase; AltName: Full=Phosphoriboisomerase	GO:0005829; GO:0043231; GO:0042802; GO:0048029; GO:0004751; GO:0006014; GO:0006098; GO:0009052	False
6	Borowiec2015_Best108	OG567.fasta.aln_gene72	7	8	0.8928571428571429	EOG091G0FQ2	ribose 5-phosphate isomerase A	P47968.2	RecName: Full=Ribose-5-phosphate isomerase; AltName: Full=Phosphoriboisomerase	GO:0043231; GO:0030246; GO:0042802; GO:0048029; GO:0004751; GO:0006014; GO:0006098; GO:0009052; GO:0019693	False
6	Borowiec2015_Total1080	OG567.fasta.aln_gene629	7	8	0.8928571428571429	EOG091G0FQ2	ribose 5-phosphate isomerase A				
6	Simion2017	V2META13230-42-Calc_Hmm10-BMGE05	7	8	0.8928571428571429			Q3T186.2	RecName: Full=Ribose-5-phosphate isomerase; AltName: Full=Phosphoriboisomerase	GO:0043231; GO:0004751; GO:0006014; GO:0009052	False
7	Whelan2017_full	Subset2_09	1	2	1.0			A7RM20.1	RecName: Full=Eukaryotic translation initiation factor 3 subunit I; Short=eIF3i	GO:0016282; GO:0033290; GO:0005852; GO:0003743; GO:0001732	False
7	Simion2017	V2META13215-42-Calc_Hmm10-BMGE05	1	2	1.0			B5FZ19.2	RecName: Full=Eukaryotic translation initiation factor 3 subunit I; Short=eIF3i; AltName: Full=Eukaryotic translation initiation factor 3 subunit 2; AltName: Full=eIF-3-beta; AltName: Full=eIF3 p36	GO:0016282; GO:0033290; GO:0005852; GO:0003743; GO:0001732; GO:0006413	False
8	Simion2017	V2META13102-42-Calc_Hmm10-BMGE05	2	3	1.0	EOG091G06CB	proteasome (prosome, macropain) 26S subunit, non-ATPase, 12	Q9D8W5.4	RecName: Full=26S proteasome non-ATPase regulatory subunit 12; AltName: Full=26S proteasome regulatory subunit RPN5; AltName: Full=26S proteasome regulatory subunit p55	GO:0005737; GO:0031595; GO:0022624; GO:0000502; GO:0005838; GO:0008541; GO:0043161	False
8	Whelan2017_full	Subset2_15	2	3	1.0	EOG091G06CB	proteasome (prosome, macropain) 26S subunit, non-ATPase, 12	O00232.3	RecName: Full=26S proteasome non-ATPase regulatory subunit 12; AltName: Full=26S proteasome regulatory subunit RPN5; AltName: Full=26S proteasome regulatory subunit p55	GO:0005737; GO:0005829; GO:0070062; GO:0005576; GO:1904813; GO:0016020; GO:0031595; GO:0005654; GO:0022624; GO:0000502; GO:0005838; GO:0008541; GO:0034774; GO:0043312; GO:0043687; GO:0043161; GO:0016579	False
8	Moroz2014_3d	0518	2	3	1.0			O00232.3	RecName: Full=26S proteasome non-ATPase regulatory subunit 12; AltName: Full=26S proteasome regulatory subunit RPN5; AltName: Full=26S proteasome regulatory subunit p55	GO:0005737; GO:0005829; GO:0070062; GO:0005576; GO:1904813; GO:0016020; GO:0031595; GO:0005654; GO:0022624; GO:0000502; GO:0005838; GO:0008541; GO:0034774; GO:0043312; GO:0043687; GO:0043161; GO:0016579	False
9	Simion2017	V2META12968-42-Calc_Hmm10-BMGE05	2	3	1.0			O60508.1	RecName: Full=Pre-mRNA-processing factor 17; AltName: Full=Cell division cycle 40 homolog; AltName: Full=EH-binding protein 3; Short=Ehb3; AltName: Full=PRP17 homolog; Short=hPRP17	GO:0071013; GO:0005654; GO:0005634; GO:0005681; GO:0071007; GO:0003723; GO:0031124; GO:0006406; GO:0000398; GO:0006405; GO:0008380	False
9	Whelan2017_full	Subset29_01	2	3	1.0			O60508.1	RecName: Full=Pre-mRNA-processing factor 17; AltName: Full=Cell division cycle 40 homolog; AltName: Full=EH-binding protein 3; Short=Ehb3; AltName: Full=PRP17 homolog; Short=hPRP17	GO:0071013; GO:0005654; GO:0005634; GO:0005681; GO:0071007; GO:0003723; GO:0031124; GO:0006406; GO:0000398; GO:0006405; GO:0008380	False
9	Borowiec2015_Total1080	OG174.fasta.aln_gene214	2	3	1.0						
10	Whelan2017_full	Subset2_11	1	2	1.0			A7RR04.1	RecName: Full=Elongation factor G, mitochondrial; Short=EF-Gmt; AltName: Full=Elongation factor G 1, mitochondrial; Short=mEF-G 1; AltName: Full=Elongation factor G1; Flags: Precursor	GO:0005739; GO:0005525; GO:0003924; GO:0003746; GO:0070125	False
10	Borowiec2015_Total1080	OG1142.fasta.aln_gene134	1	2	1.0						
11	Dunn2008	Tribe1292	5	6	1.0	EOG091G0PHL	V-ATPase proteolipid subunit C-like domain	Q2TA24.1	RecName: Full=V-type proton ATPase 21 kDa proteolipid subunit; Short=V-ATPase 21 kDa proteolipid subunit; AltName: Full=Vacuolar proton pump 21 kDa proteolipid subunit	GO:0005768; GO:0016021; GO:0033179; GO:0005774; GO:0046961; GO:0015991	False
11	Whelan2017_full	Subset37_02	5	6	1.0	EOG091G0PHL	V-ATPase proteolipid subunit C-like domain	Q2TA24.1	RecName: Full=V-type proton ATPase 21 kDa proteolipid subunit; Short=V-ATPase 21 kDa proteolipid subunit; AltName: Full=Vacuolar proton pump 21 kDa proteolipid subunit	GO:0005768; GO:0016021; GO:0033179; GO:0005774; GO:0046961; GO:0015991	False
11	Philippe2009	Gene_0124	5	6	1.0	EOG091G0PHL	V-ATPase proteolipid subunit C-like domain	Q2TA24.1	RecName: Full=V-type proton ATPase 21 kDa proteolipid subunit; Short=V-ATPase 21 kDa proteolipid subunit; AltName: Full=Vacuolar proton pump 21 kDa proteolipid subunit	GO:0005768; GO:0016021; GO:0033179; GO:0005774; GO:0046961; GO:0015991	False
11	Simion2017	V2META14191-42-Calc_Hmm10-BMGE05	5	6	1.0	EOG091G0PHL	V-ATPase proteolipid subunit C-like domain	Q2TA24.1	RecName: Full=V-type proton ATPase 21 kDa proteolipid subunit; Short=V-ATPase 21 kDa proteolipid subunit; AltName: Full=Vacuolar proton pump 21 kDa proteolipid subunit	GO:0005768; GO:0016021; GO:0033179; GO:0005774; GO:0046961; GO:0015991	False
11	Hejnol2009	Tribe1506_0	5	6	1.0	EOG091G0PHL	V-ATPase proteolipid subunit C-like domain	Q2TA24.1	RecName: Full=V-type proton ATPase 21 kDa proteolipid subunit; Short=V-ATPase 21 kDa proteolipid subunit; AltName: Full=Vacuolar proton pump 21 kDa proteolipid subunit	GO:0005768; GO:0016021; GO:0033179; GO:0005774; GO:0046961; GO:0015991	False
11	Chang2015	vacaatpasepl21	5	6	1.0	EOG091G0PHL	V-ATPase proteolipid subunit C-like domain	Q2TA24.1	RecName: Full=V-type proton ATPase 21 kDa proteolipid subunit; Short=V-ATPase 21 kDa proteolipid subunit; AltName: Full=Vacuolar proton pump 21 kDa proteolipid subunit	GO:0005768; GO:0016021; GO:0033179; GO:0005774; GO:0046961; GO:0015991	False
12	Whelan2017_full	Subset4_19	0	1	0			O43242.2	RecName: Full=26S proteasome non-ATPase regulatory subunit 3; AltName: Full=26S proteasome regulatory subunit RPN3; AltName: Full=26S proteasome regulatory subunit S3; AltName: Full=Proteasome subunit p58	GO:0005829; GO:0070062; GO:0005576; GO:1904813; GO:0016020; GO:0005654; GO:0005634; GO:0022624; GO:0000502; GO:0008541; GO:0034774; GO:0030234; GO:0043312; GO:0043687; GO:0016579; GO:0042176; GO:0006511	False
13	Simion2017	V2META10197-2-2-2-2-42-Calc_Hmm10-BMGE05	2	3	1.0			P15170.1	RecName: Full=Eukaryotic peptide chain release factor GTP-binding subunit ERF3A; Short=Eukaryotic peptide chain release factor subunit 3a; Short=eRF3a; AltName: Full=G1 to S phase transition protein 1 homolog	GO:0005829; GO:0005622; GO:0018444; GO:0005525; GO:0003924; GO:0003723; GO:0003747; GO:0002184; GO:0000082; GO:0000184; GO:0006479; GO:0006412	False
13	Whelan2017_full	Subset2_23	2	3	1.0			P15170.1	RecName: Full=Eukaryotic peptide chain release factor GTP-binding subunit ERF3A; Short=Eukaryotic peptide chain release factor subunit 3a; Short=eRF3a; AltName: Full=G1 to S phase transition protein 1 homolog	GO:0005829; GO:0005622; GO:0018444; GO:0005525; GO:0003924; GO:0003723; GO:0003747; GO:0002184; GO:0000082; GO:0000184; GO:0006479; GO:0006412	False
13	Chang2015	ef1_01	2	3	1.0			P15170.1	RecName: Full=Eukaryotic peptide chain release factor GTP-binding subunit ERF3A; Short=Eukaryotic peptide chain release factor subunit 3a; Short=eRF3a; AltName: Full=G1 to S phase transition protein 1 homolog	GO:0005829; GO:0005622; GO:0018444; GO:0005525; GO:0003924; GO:0003723; GO:0003747; GO:0002184; GO:0000082; GO:0000184; GO:0006479; GO:0006412	False
14	Chang2015	cct_01	20	21	0.2	EOG091G07CE	chaperonin containing TCP1, subunit 6B (zeta 2)	Q29068.1	RecName: Full=T-complex protein 1 subunit gamma; Short=TCP-1-gamma; AltName: Full=CCT-gamma; AltName: Full=Matricin	GO:0005832; GO:0005524; GO:0051082; GO:0006457	False
14	Borowiec2015_Best108	OG6.fasta.aln_gene88	4	21	0.2	EOG091G07CE	chaperonin containing TCP1, subunit 6B (zeta 2)	O77622.3	RecName: Full=T-complex protein 1 subunit zeta; Short=TCP-1-zeta; AltName: Full=CCT-zeta	GO:0005832; GO:0005829; GO:0005874; GO:0005524; GO:0051082; GO:0071987; GO:1904851; GO:0032212; GO:0006457; GO:0050821	False
14	Whelan2017_full	Subset3_01	3	21	0.2			P42943.1	RecName: Full=T-complex protein 1 subunit eta; Short=TCP-1-eta; AltName: Full=CCT-eta	GO:0005832; GO:0005737; GO:0005524; GO:0051082; GO:0006457	False
14	Borowiec2015_Best108	OG4.fasta.aln_gene62	3	21	0.2			O00782.1	RecName: Full=T-complex protein 1 subunit gamma; Short=TCP-1-gamma; AltName: Full=CCT-gamma; AltName: Full=Chaperonin subunit CCTV gamma	GO:0005737; GO:0005524; GO:0051082; GO:0006457	False
14	Borowiec2015_Total1080	OG6.fasta.aln_gene771	4	21	0.2	EOG091G07CE	chaperonin containing TCP1, subunit 6B (zeta 2)				
14	Simion2017	V2META10144-2-1-42-Calc_Hmm10-BMGE05	3	21	0.2			P80313.1	RecName: Full=T-complex protein 1 subunit eta; Short=TCP-1-eta; AltName: Full=CCT-eta	GO:0044297; GO:0005832; GO:0005874; GO:0005739; GO:0005524; GO:0042802; GO:0051082; GO:0007339; GO:1904851; GO:0032212; GO:0006457; GO:0050821; GO:1901998	False
14	Simion2017	V2META10144-2-2-2-2-42-Calc_Hmm10-BMGE05	4	21	0.2			P50991.4	RecName: Full=T-complex protein 1 subunit delta; Short=TCP-1-delta; AltName: Full=CCT-delta; AltName: Full=Stimulator of TAR RNA-binding	GO:0044297; GO:0042995; GO:0005813; GO:0005832; GO:0005829; GO:0070062; GO:0042470; GO:0005874; GO:0005654; GO:0002199; GO:0005524; GO:0003723; GO:0051082; GO:0007339; GO:1904851; GO:1904871; GO:0051973; GO:1904874; GO:0032212; GO:0006457; GO:0050821; GO:0090666; GO:1901998	False
14	Borowiec2015_Best108	OG3.fasta.aln_gene48	4	21	0.2			P47208.1	RecName: Full=T-complex protein 1 subunit delta; Short=TCP-1-delta; AltName: Full=CCT-delta	GO:0005832; GO:0005524; GO:0051082; GO:0040032; GO:0006457	False
14	Simion2017	V2META13072-42-Calc_Hmm10-BMGE05	2	21	0.2			P50990.4	RecName: Full=T-complex protein 1 subunit theta; Short=TCP-1-theta; AltName: Full=CCT-theta; AltName: Full=Chaperonin containing T-complex polypeptide 1 subunit 8; AltName: Full=Renal carcinoma antigen NY-REN-15	GO:0035578; GO:0044297; GO:0005813; GO:0005832; GO:0005929; GO:0005737; GO:0005829; GO:0070062; GO:0005576; GO:1904813; GO:0045111; GO:0005874; GO:0005654; GO:0034774; GO:0002199; GO:0005524; GO:0042623; GO:0045296; GO:0051082; GO:0007339; GO:0043312; GO:0046931; GO:1904851; GO:1904871; GO:1904874; GO:0032212; GO:0006457; GO:0050821; GO:1901998	False
14	Philippe2009	Gene_0008	3	21	0.2			O04450.1	RecName: Full=T-complex protein 1 subunit epsilon; Short=TCP-1-epsilon; AltName: Full=CCT-epsilon; AltName: Full=Chaperonin CCT5	GO:0005832; GO:0005829; GO:0005886; GO:0009506; GO:0005524; GO:0051082; GO:0006457	False
14	Philippe2009	Gene_0011	2	21	0.2			Q3ZCI9.3	RecName: Full=T-complex protein 1 subunit theta; Short=TCP-1-theta; AltName: Full=CCT-theta	GO:0005832; GO:0005929; GO:0005815; GO:0005524; GO:0051082; GO:0006457	False
14	Borowiec2015_Total1080	OG3.fasta.aln_gene457	4	21	0.2						
14	Philippe2009	Gene_0010	3	21	0.2			Q54ER7.1	RecName: Full=T-complex protein 1 subunit eta; Short=TCP-1-eta; AltName: Full=CCT-eta	GO:0005832; GO:0005524; GO:0051082; GO:0006457	False
14	Simion2017	V2META12513-42-Calc_Hmm10-BMGE05	4	21	0.2	EOG091G07CE	chaperonin containing TCP1, subunit 6B (zeta 2)	Q5ZJ54.3	RecName: Full=T-complex protein 1 subunit zeta; Short=TCP-1-zeta; AltName: Full=CCT-zeta	GO:0005832; GO:0005524; GO:0051082; GO:0006457; GO:1901998	False
