"component_number"	"matrix"	"partition"	"edges"	"nodes_in_component"	"component_density"	"BUSCO_ID"	"BUSCO_description"	"SwissProt_accession"	"SwissProt_description"	"GO_annotations"	"ribo_found"	"BUSCO"
"33"	"3"	"Simion2017"	"V2META13838-42-Calc_Hmm10-BMGE05"	4	5	1	NA	NA	"A9UNU6.1"	"RecName: Full=Bystin"	"GO:0005737; GO:0005730; GO:0005634; GO:0030688; GO:0030515; GO:0006364"	FALSE	NA
"34"	"3"	"Hejnol2009"	"Tribe1748_0"	4	5	1	NA	NA	"A7S7F2.1"	"RecName: Full=Bystin"	"GO:0005737; GO:0005730; GO:0005634; GO:0030688; GO:0030515; GO:0006364"	FALSE	NA
"35"	"3"	"Borowiec2015_Total1080"	"OG438.fasta.aln_gene498"	4	5	1	"EOG091G08JE"	"bystin-like"	NA	NA	NA	NA	"bystin-like"
"36"	"3"	"Whelan2017_full"	"Subset29_05"	4	5	1	NA	NA	"A9UNU6.1"	"RecName: Full=Bystin"	"GO:0005737; GO:0005730; GO:0005634; GO:0030688; GO:0030515; GO:0006364"	FALSE	NA
"37"	"3"	"Borowiec2015_Best108"	"OG438.fasta.aln_gene53"	4	5	1	"EOG091G08JE"	"bystin-like"	"Q5E9N0.1"	"RecName: Full=Bystin"	"GO:0045177; GO:0005737; GO:0005730; GO:0005634; GO:0030688; GO:0030515; GO:0008283; GO:0000462; GO:0006364; GO:0001829"	FALSE	"bystin-like"
"38"	"4"	"Whelan2017_full"	"Subset4_21"	2	3	1	NA	NA	"Q91WF7.1"	"RecName: Full=Polyphosphoinositide phosphatase; AltName: Full=Phosphatidylinositol 3,5-bisphosphate 5-phosphatase; AltName: Full=SAC domain-containing protein 3"	"GO:0005783; GO:0010008; GO:0005794; GO:0043231; GO:0005811; GO:0055037; GO:0034593; GO:0004438; GO:0043812; GO:0007626; GO:0032288; GO:0031642; GO:0048666; GO:0046488; GO:0043473; GO:0010976; GO:0007033"	FALSE	NA
"39"	"4"	"Moroz2014_3d"	"1019"	2	3	1	NA	NA	"Q91WF7.1"	"RecName: Full=Polyphosphoinositide phosphatase; AltName: Full=Phosphatidylinositol 3,5-bisphosphate 5-phosphatase; AltName: Full=SAC domain-containing protein 3"	"GO:0005783; GO:0010008; GO:0005794; GO:0043231; GO:0005811; GO:0055037; GO:0034593; GO:0004438; GO:0043812; GO:0007626; GO:0032288; GO:0031642; GO:0048666; GO:0046488; GO:0043473; GO:0010976; GO:0007033"	FALSE	NA
"40"	"4"	"Simion2017"	"V2META10342-1-1-42-Calc_Hmm10-BMGE05"	2	3	1	NA	NA	"Q91WF7.1"	"RecName: Full=Polyphosphoinositide phosphatase; AltName: Full=Phosphatidylinositol 3,5-bisphosphate 5-phosphatase; AltName: Full=SAC domain-containing protein 3"	"GO:0005783; GO:0010008; GO:0005794; GO:0043231; GO:0005811; GO:0055037; GO:0034593; GO:0004438; GO:0043812; GO:0007626; GO:0032288; GO:0031642; GO:0048666; GO:0046488; GO:0043473; GO:0010976; GO:0007033"	FALSE	NA
"41"	"5"	"Whelan2017_full"	"Subset2_20"	3	4	1	NA	NA	"Q32L22.1"	"RecName: Full=DNA-directed RNA polymerases I and III subunit RPAC1; Short=DNA-directed RNA polymerase I subunit C; Short=RNA polymerases I and III subunit AC1"	"GO:0005736; GO:0005666; GO:0003677; GO:0003899; GO:0046983; GO:0006360; GO:0006383"	FALSE	NA
"42"	"5"	"Simion2017"	"V2META11108-42-Calc_Hmm10-BMGE05"	3	4	1	NA	NA	"Q32L22.1"	"RecName: Full=DNA-directed RNA polymerases I and III subunit RPAC1; Short=DNA-directed RNA polymerase I subunit C; Short=RNA polymerases I and III subunit AC1"	"GO:0005736; GO:0005666; GO:0003677; GO:0003899; GO:0046983; GO:0006360; GO:0006383"	FALSE	NA
"43"	"5"	"Chang2015"	"tribe1381"	3	4	1	NA	NA	"P52432.3"	"RecName: Full=DNA-directed RNA polymerases I and III subunit RPAC1; Short=DNA-directed RNA polymerase I subunit C; Short=RNA polymerases I and III subunit AC1; AltName: Full=AC40; AltName: Full=DNA-directed RNA polymerases I and III 40 kDa polypeptide; Short=RPA40; AltName: Full=RPC40"	"GO:0005654; GO:0005634; GO:0005736; GO:0005666; GO:0003677; GO:0003899; GO:0046983; GO:0006360; GO:0006383"	FALSE	NA
"44"	"5"	"Hejnol2009"	"Tribe1899_0"	3	4	1	NA	NA	"O15160.1"	"RecName: Full=DNA-directed RNA polymerases I and III subunit RPAC1; Short=DNA-directed RNA polymerase I subunit C; Short=RNA polymerases I and III subunit AC1; AltName: Full=AC40; AltName: Full=DNA-directed RNA polymerases I and III 40 kDa polypeptide; Short=RPA40; AltName: Full=RPA39; AltName: Full=RPC40"	"GO:0005829; GO:0005654; GO:0005634; GO:0005736; GO:0005666; GO:0003677; GO:0003899; GO:0046983; GO:0045815; GO:0006363; GO:0006360; GO:0006383; GO:0006361"	FALSE	NA
"45"	"6"	"Whelan2015_D1"	"Gene_0443"	5	8	0.892857142857143	NA	NA	"P49247.3"	"RecName: Full=Ribose-5-phosphate isomerase; AltName: Full=Phosphoriboisomerase"	"GO:0005829; GO:0043231; GO:0042802; GO:0048029; GO:0004751; GO:0006014; GO:0006098; GO:0009052"	FALSE	NA
"46"	"6"	"Whelan2015_D20"	"Gene_0443"	5	8	0.892857142857143	NA	NA	"P49247.3"	"RecName: Full=Ribose-5-phosphate isomerase; AltName: Full=Phosphoriboisomerase"	"GO:0005829; GO:0043231; GO:0042802; GO:0048029; GO:0004751; GO:0006014; GO:0006098; GO:0009052"	FALSE	NA
"47"	"6"	"Hejnol2009"	"Tribe1932_0"	7	8	0.892857142857143	"EOG091G0FQ2"	"ribose 5-phosphate isomerase A"	"A2TLM1.1"	"RecName: Full=Ribose-5-phosphate isomerase; AltName: Full=Phosphoriboisomerase"	"GO:0043231; GO:0004751; GO:0006014; GO:0009052"	FALSE	"ribose 5-phosphate isomerase A"
"48"	"6"	"Whelan2017_full"	"Subset30_02"	7	8	0.892857142857143	"EOG091G0FQ2"	"ribose 5-phosphate isomerase A"	"A2TLM1.1"	"RecName: Full=Ribose-5-phosphate isomerase; AltName: Full=Phosphoriboisomerase"	"GO:0043231; GO:0004751; GO:0006014; GO:0009052"	FALSE	"ribose 5-phosphate isomerase A"
"49"	"6"	"Whelan2015_D10"	"Gene_0443"	5	8	0.892857142857143	NA	NA	"P49247.3"	"RecName: Full=Ribose-5-phosphate isomerase; AltName: Full=Phosphoriboisomerase"	"GO:0005829; GO:0043231; GO:0042802; GO:0048029; GO:0004751; GO:0006014; GO:0006098; GO:0009052"	FALSE	NA
"50"	"6"	"Borowiec2015_Best108"	"OG567.fasta.aln_gene72"	7	8	0.892857142857143	"EOG091G0FQ2"	"ribose 5-phosphate isomerase A"	"P47968.2"	"RecName: Full=Ribose-5-phosphate isomerase; AltName: Full=Phosphoriboisomerase"	"GO:0043231; GO:0030246; GO:0042802; GO:0048029; GO:0004751; GO:0006014; GO:0006098; GO:0009052; GO:0019693"	FALSE	"ribose 5-phosphate isomerase A"
"51"	"6"	"Borowiec2015_Total1080"	"OG567.fasta.aln_gene629"	7	8	0.892857142857143	"EOG091G0FQ2"	"ribose 5-phosphate isomerase A"	NA	NA	NA	NA	"ribose 5-phosphate isomerase A"
"52"	"6"	"Simion2017"	"V2META13230-42-Calc_Hmm10-BMGE05"	7	8	0.892857142857143	NA	NA	"Q3T186.2"	"RecName: Full=Ribose-5-phosphate isomerase; AltName: Full=Phosphoriboisomerase"	"GO:0043231; GO:0004751; GO:0006014; GO:0009052"	FALSE	NA
"53"	"7"	"Whelan2017_full"	"Subset2_09"	1	2	1	NA	NA	"A7RM20.1"	"RecName: Full=Eukaryotic translation initiation factor 3 subunit I; Short=eIF3i"	"GO:0016282; GO:0033290; GO:0005852; GO:0003743; GO:0001732"	FALSE	NA
"54"	"7"	"Simion2017"	"V2META13215-42-Calc_Hmm10-BMGE05"	1	2	1	NA	NA	"B5FZ19.2"	"RecName: Full=Eukaryotic translation initiation factor 3 subunit I; Short=eIF3i; AltName: Full=Eukaryotic translation initiation factor 3 subunit 2; AltName: Full=eIF-3-beta; AltName: Full=eIF3 p36"	"GO:0016282; GO:0033290; GO:0005852; GO:0003743; GO:0001732; GO:0006413"	FALSE	NA
"55"	"8"	"Simion2017"	"V2META13102-42-Calc_Hmm10-BMGE05"	2	3	1	"EOG091G06CB"	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 12"	"Q9D8W5.4"	"RecName: Full=26S proteasome non-ATPase regulatory subunit 12; AltName: Full=26S proteasome regulatory subunit RPN5; AltName: Full=26S proteasome regulatory subunit p55"	"GO:0005737; GO:0031595; GO:0022624; GO:0000502; GO:0005838; GO:0008541; GO:0043161"	FALSE	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 12"
"56"	"8"	"Whelan2017_full"	"Subset2_15"	2	3	1	"EOG091G06CB"	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 12"	"O00232.3"	"RecName: Full=26S proteasome non-ATPase regulatory subunit 12; AltName: Full=26S proteasome regulatory subunit RPN5; AltName: Full=26S proteasome regulatory subunit p55"	"GO:0005737; GO:0005829; GO:0070062; GO:0005576; GO:1904813; GO:0016020; GO:0031595; GO:0005654; GO:0022624; GO:0000502; GO:0005838; GO:0008541; GO:0034774; GO:0043312; GO:0043687; GO:0043161; GO:0016579"	FALSE	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 12"
"57"	"8"	"Moroz2014_3d"	"0518"	2	3	1	NA	NA	"O00232.3"	"RecName: Full=26S proteasome non-ATPase regulatory subunit 12; AltName: Full=26S proteasome regulatory subunit RPN5; AltName: Full=26S proteasome regulatory subunit p55"	"GO:0005737; GO:0005829; GO:0070062; GO:0005576; GO:1904813; GO:0016020; GO:0031595; GO:0005654; GO:0022624; GO:0000502; GO:0005838; GO:0008541; GO:0034774; GO:0043312; GO:0043687; GO:0043161; GO:0016579"	FALSE	NA
"58"	"9"	"Simion2017"	"V2META12968-42-Calc_Hmm10-BMGE05"	2	3	1	NA	NA	"O60508.1"	"RecName: Full=Pre-mRNA-processing factor 17; AltName: Full=Cell division cycle 40 homolog; AltName: Full=EH-binding protein 3; Short=Ehb3; AltName: Full=PRP17 homolog; Short=hPRP17"	"GO:0071013; GO:0005654; GO:0005634; GO:0005681; GO:0071007; GO:0003723; GO:0031124; GO:0006406; GO:0000398; GO:0006405; GO:0008380"	FALSE	NA
"59"	"9"	"Whelan2017_full"	"Subset29_01"	2	3	1	NA	NA	"O60508.1"	"RecName: Full=Pre-mRNA-processing factor 17; AltName: Full=Cell division cycle 40 homolog; AltName: Full=EH-binding protein 3; Short=Ehb3; AltName: Full=PRP17 homolog; Short=hPRP17"	"GO:0071013; GO:0005654; GO:0005634; GO:0005681; GO:0071007; GO:0003723; GO:0031124; GO:0006406; GO:0000398; GO:0006405; GO:0008380"	FALSE	NA
"60"	"9"	"Borowiec2015_Total1080"	"OG174.fasta.aln_gene214"	2	3	1	NA	NA	NA	NA	NA	NA	NA
"61"	"10"	"Whelan2017_full"	"Subset2_11"	1	2	1	NA	NA	"A7RR04.1"	"RecName: Full=Elongation factor G, mitochondrial; Short=EF-Gmt; AltName: Full=Elongation factor G 1, mitochondrial; Short=mEF-G 1; AltName: Full=Elongation factor G1; Flags: Precursor"	"GO:0005739; GO:0005525; GO:0003924; GO:0003746; GO:0070125"	FALSE	NA
"62"	"10"	"Borowiec2015_Total1080"	"OG1142.fasta.aln_gene134"	1	2	1	NA	NA	NA	NA	NA	NA	NA
"63"	"11"	"Dunn2008"	"Tribe1292"	5	6	1	"EOG091G0PHL"	"V-ATPase proteolipid subunit C-like domain"	"Q2TA24.1"	"RecName: Full=V-type proton ATPase 21 kDa proteolipid subunit; Short=V-ATPase 21 kDa proteolipid subunit; AltName: Full=Vacuolar proton pump 21 kDa proteolipid subunit"	"GO:0005768; GO:0016021; GO:0033179; GO:0005774; GO:0046961; GO:0015991"	FALSE	"V-ATPase proteolipid subunit C-like domain"
"64"	"11"	"Whelan2017_full"	"Subset37_02"	5	6	1	"EOG091G0PHL"	"V-ATPase proteolipid subunit C-like domain"	"Q2TA24.1"	"RecName: Full=V-type proton ATPase 21 kDa proteolipid subunit; Short=V-ATPase 21 kDa proteolipid subunit; AltName: Full=Vacuolar proton pump 21 kDa proteolipid subunit"	"GO:0005768; GO:0016021; GO:0033179; GO:0005774; GO:0046961; GO:0015991"	FALSE	"V-ATPase proteolipid subunit C-like domain"
"65"	"11"	"Philippe2009"	"Gene_0124"	5	6	1	"EOG091G0PHL"	"V-ATPase proteolipid subunit C-like domain"	"Q2TA24.1"	"RecName: Full=V-type proton ATPase 21 kDa proteolipid subunit; Short=V-ATPase 21 kDa proteolipid subunit; AltName: Full=Vacuolar proton pump 21 kDa proteolipid subunit"	"GO:0005768; GO:0016021; GO:0033179; GO:0005774; GO:0046961; GO:0015991"	FALSE	"V-ATPase proteolipid subunit C-like domain"
"66"	"11"	"Simion2017"	"V2META14191-42-Calc_Hmm10-BMGE05"	5	6	1	"EOG091G0PHL"	"V-ATPase proteolipid subunit C-like domain"	"Q2TA24.1"	"RecName: Full=V-type proton ATPase 21 kDa proteolipid subunit; Short=V-ATPase 21 kDa proteolipid subunit; AltName: Full=Vacuolar proton pump 21 kDa proteolipid subunit"	"GO:0005768; GO:0016021; GO:0033179; GO:0005774; GO:0046961; GO:0015991"	FALSE	"V-ATPase proteolipid subunit C-like domain"
"67"	"11"	"Hejnol2009"	"Tribe1506_0"	5	6	1	"EOG091G0PHL"	"V-ATPase proteolipid subunit C-like domain"	"Q2TA24.1"	"RecName: Full=V-type proton ATPase 21 kDa proteolipid subunit; Short=V-ATPase 21 kDa proteolipid subunit; AltName: Full=Vacuolar proton pump 21 kDa proteolipid subunit"	"GO:0005768; GO:0016021; GO:0033179; GO:0005774; GO:0046961; GO:0015991"	FALSE	"V-ATPase proteolipid subunit C-like domain"
"68"	"11"	"Chang2015"	"vacaatpasepl21"	5	6	1	"EOG091G0PHL"	"V-ATPase proteolipid subunit C-like domain"	"Q2TA24.1"	"RecName: Full=V-type proton ATPase 21 kDa proteolipid subunit; Short=V-ATPase 21 kDa proteolipid subunit; AltName: Full=Vacuolar proton pump 21 kDa proteolipid subunit"	"GO:0005768; GO:0016021; GO:0033179; GO:0005774; GO:0046961; GO:0015991"	FALSE	"V-ATPase proteolipid subunit C-like domain"
"69"	"12"	"Whelan2017_full"	"Subset4_19"	0	1	0	NA	NA	"O43242.2"	"RecName: Full=26S proteasome non-ATPase regulatory subunit 3; AltName: Full=26S proteasome regulatory subunit RPN3; AltName: Full=26S proteasome regulatory subunit S3; AltName: Full=Proteasome subunit p58"	"GO:0005829; GO:0070062; GO:0005576; GO:1904813; GO:0016020; GO:0005654; GO:0005634; GO:0022624; GO:0000502; GO:0008541; GO:0034774; GO:0030234; GO:0043312; GO:0043687; GO:0016579; GO:0042176; GO:0006511"	FALSE	NA
"70"	"13"	"Simion2017"	"V2META10197-2-2-2-2-42-Calc_Hmm10-BMGE05"	2	3	1	NA	NA	"P15170.1"	"RecName: Full=Eukaryotic peptide chain release factor GTP-binding subunit ERF3A; Short=Eukaryotic peptide chain release factor subunit 3a; Short=eRF3a; AltName: Full=G1 to S phase transition protein 1 homolog"	"GO:0005829; GO:0005622; GO:0018444; GO:0005525; GO:0003924; GO:0003723; GO:0003747; GO:0002184; GO:0000082; GO:0000184; GO:0006479; GO:0006412"	FALSE	NA
"71"	"13"	"Whelan2017_full"	"Subset2_23"	2	3	1	NA	NA	"P15170.1"	"RecName: Full=Eukaryotic peptide chain release factor GTP-binding subunit ERF3A; Short=Eukaryotic peptide chain release factor subunit 3a; Short=eRF3a; AltName: Full=G1 to S phase transition protein 1 homolog"	"GO:0005829; GO:0005622; GO:0018444; GO:0005525; GO:0003924; GO:0003723; GO:0003747; GO:0002184; GO:0000082; GO:0000184; GO:0006479; GO:0006412"	FALSE	NA
