mscript1	dataset1	part1	mscript2	dataset2	part2	count
Borowiec2015	Best108	OG268.fasta.aln_gene30	Borowiec2015	Total1080	OG268.fasta.aln_gene316	32
Borowiec2015	Best108	OG270.fasta.aln_gene31	Borowiec2015	Best108	OG270.fasta.aln_gene31	33
Borowiec2015	Best108	OG270.fasta.aln_gene31	Borowiec2015	Total1080	OG270.fasta.aln_gene318	33
Borowiec2015	Best108	OG28.fasta.aln_gene32	Borowiec2015	Best108	OG28.fasta.aln_gene32	40
Borowiec2015	Best108	OG28.fasta.aln_gene32	Borowiec2015	Total1080	OG28.fasta.aln_gene339	40
Borowiec2015	Best108	OG28.fasta.aln_gene32	Dunn2008	Dunn2008	Tribe1381	9
Borowiec2015	Best108	OG28.fasta.aln_gene32	Hejnol2009	Hejnol2009	Tribe1531_0	2
Borowiec2015	Best108	OG28.fasta.aln_gene32	Moroz2014	ED3a	0097	1
Borowiec2015	Best108	OG28.fasta.aln_gene32	Ryan2013	est.opisthokonta	gene78	4
Borowiec2015	Best108	OG294.fasta.aln_gene33	Borowiec2015	Best108	OG294.fasta.aln_gene33	34
Borowiec2015	Best108	OG294.fasta.aln_gene33	Borowiec2015	Total1080	OG294.fasta.aln_gene344	34
Borowiec2015	Best108	OG295.fasta.aln_gene34	Borowiec2015	Best108	OG295.fasta.aln_gene34	35
Borowiec2015	Best108	OG295.fasta.aln_gene34	Borowiec2015	Total1080	OG295.fasta.aln_gene345	35
Borowiec2015	Best108	OG295.fasta.aln_gene34	Moroz2014	ED3a	0410	2
Borowiec2015	Best108	OG298.fasta.aln_gene35	Borowiec2015	Best108	OG298.fasta.aln_gene35	27
Borowiec2015	Best108	OG298.fasta.aln_gene35	Borowiec2015	Total1080	OG298.fasta.aln_gene348	27
Borowiec2015	Best108	OG298.fasta.aln_gene35	Hejnol2009	Hejnol2009	Tribe1786_0	1
Borowiec2015	Best108	OG298.fasta.aln_gene35	Ryan2013	est.opisthokonta	gene195	1
Borowiec2015	Best108	OG298.fasta.aln_gene35	Ryan2013	genome.opisthokonta	gene28	9
Borowiec2015	Best108	OG298.fasta.aln_gene35	Whelan2015	Dataset10_CertainPruned_LBAtaxa_LBAandHeteroGenesPruned	Gene_0017	1
Borowiec2015	Best108	OG298.fasta.aln_gene35	Whelan2015	Dataset1_FullData	Gene_0017	1
Borowiec2015	Best108	OG298.fasta.aln_gene35	Whelan2015	Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa	Gene_0017	1
Borowiec2015	Best108	OG298.fasta.aln_gene35	Whelan2017	Metazoa_full	Subset2_01	1
Borowiec2015	Best108	OG3.fasta.aln_gene48	Borowiec2015	Best108	OG3.fasta.aln_gene48	36
Borowiec2015	Best108	OG3.fasta.aln_gene48	Borowiec2015	Total1080	OG3.fasta.aln_gene457	36
Borowiec2015	Best108	OG3.fasta.aln_gene48	Chang2015	Chang2015	cct_01	11
Borowiec2015	Best108	OG3.fasta.aln_gene48	Philippe2009	Philippe2009	cct-D	1
Borowiec2015	Best108	OG3.fasta.aln_gene48	Simion2017	supermatrix_97sp_401632pos_1719genes	V2META10144-2-2-2-2-42-Calc_Hmm10-BMGE05	13
Borowiec2015	Best108	OG30.fasta.aln_gene38	Borowiec2015	Best108	OG30.fasta.aln_gene38	43
Borowiec2015	Best108	OG30.fasta.aln_gene38	Borowiec2015	Total1080	OG30.fasta.aln_gene361	43
Borowiec2015	Best108	OG302.fasta.aln_gene37	Borowiec2015	Best108	OG302.fasta.aln_gene37	35
Borowiec2015	Best108	OG302.fasta.aln_gene37	Borowiec2015	Total1080	OG302.fasta.aln_gene353	35
Borowiec2015	Best108	OG327.fasta.aln_gene39	Borowiec2015	Best108	OG327.fasta.aln_gene39	28
Borowiec2015	Best108	OG327.fasta.aln_gene39	Borowiec2015	Total1080	OG327.fasta.aln_gene379	28
Borowiec2015	Best108	OG327.fasta.aln_gene39	Hejnol2009	Hejnol2009	Tribe1698_0	3
Borowiec2015	Best108	OG327.fasta.aln_gene39	Ryan2013	est.opisthokonta	gene56	4
Borowiec2015	Best108	OG335.fasta.aln_gene40	Borowiec2015	Best108	OG335.fasta.aln_gene40	34
Borowiec2015	Best108	OG335.fasta.aln_gene40	Borowiec2015	Total1080	OG335.fasta.aln_gene387	34
Borowiec2015	Best108	OG335.fasta.aln_gene40	Nosenko2013	nonribosomal_9187_smatrix	KOG2541	3
Borowiec2015	Best108	OG364.fasta.aln_gene41	Borowiec2015	Best108	OG364.fasta.aln_gene41	26
Borowiec2015	Best108	OG364.fasta.aln_gene41	Borowiec2015	Total1080	OG364.fasta.aln_gene418	26
Borowiec2015	Best108	OG364.fasta.aln_gene41	Simion2017	supermatrix_97sp_401632pos_1719genes	V2META12519-42-Calc_Hmm10-BMGE05	1
Borowiec2015	Best108	OG365.fasta.aln_gene42	Borowiec2015	Best108	OG365.fasta.aln_gene42	23
Borowiec2015	Best108	OG365.fasta.aln_gene42	Borowiec2015	Total1080	OG365.fasta.aln_gene419	23
Borowiec2015	Best108	OG366.fasta.aln_gene43	Borowiec2015	Best108	OG366.fasta.aln_gene43	21
Borowiec2015	Best108	OG366.fasta.aln_gene43	Borowiec2015	Total1080	OG366.fasta.aln_gene420	21
Borowiec2015	Best108	OG370.fasta.aln_gene44	Borowiec2015	Best108	OG370.fasta.aln_gene44	33
Borowiec2015	Best108	OG370.fasta.aln_gene44	Borowiec2015	Total1080	OG370.fasta.aln_gene425	33
Borowiec2015	Best108	OG370.fasta.aln_gene44	Ryan2013	genome.opisthokonta	gene174	7
Borowiec2015	Best108	OG378.fasta.aln_gene45	Borowiec2015	Best108	OG378.fasta.aln_gene45	36
Borowiec2015	Best108	OG378.fasta.aln_gene45	Borowiec2015	Total1080	OG378.fasta.aln_gene432	36
Borowiec2015	Best108	OG378.fasta.aln_gene45	Chang2015	Chang2015	orf2	14
Borowiec2015	Best108	OG378.fasta.aln_gene45	Hejnol2009	Hejnol2009	Tribe2779_0	7
Borowiec2015	Best108	OG378.fasta.aln_gene45	Moroz2014	ED3a	0483	12
Borowiec2015	Best108	OG378.fasta.aln_gene45	Moroz2014	ED3d	0483	12
Borowiec2015	Best108	OG378.fasta.aln_gene45	Ryan2013	est.opisthokonta	gene391	2
Borowiec2015	Best108	OG378.fasta.aln_gene45	Ryan2013	genome.opisthokonta	gene238	5
Borowiec2015	Best108	OG378.fasta.aln_gene45	Simion2017	supermatrix_97sp_401632pos_1719genes	V2META13108-42-Calc_Hmm10-BMGE05	11
Borowiec2015	Best108	OG378.fasta.aln_gene45	Whelan2017	Metazoa_Choano_RCFV_strict	Subset26	10
Borowiec2015	Best108	OG378.fasta.aln_gene45	Whelan2017	Metazoa_full	Subset31_01	10
Borowiec2015	Best108	OG379.fasta.aln_gene46	Borowiec2015	Best108	OG379.fasta.aln_gene46	34
Borowiec2015	Best108	OG379.fasta.aln_gene46	Borowiec2015	Total1080	OG379.fasta.aln_gene433	34
Borowiec2015	Best108	OG379.fasta.aln_gene46	Ryan2013	genome.opisthokonta	gene102	10
Borowiec2015	Best108	OG384.fasta.aln_gene47	Borowiec2015	Best108	OG384.fasta.aln_gene47	33
Borowiec2015	Best108	OG384.fasta.aln_gene47	Borowiec2015	Total1080	OG384.fasta.aln_gene439	33
Borowiec2015	Best108	OG4.fasta.aln_gene62	Borowiec2015	Best108	OG4.fasta.aln_gene62	30
Borowiec2015	Best108	OG4.fasta.aln_gene62	Borowiec2015	Total1080	OG4.fasta.aln_gene564	30
Borowiec2015	Best108	OG4.fasta.aln_gene62	Chang2015	Chang2015	cct_01	10
Borowiec2015	Best108	OG4.fasta.aln_gene62	Philippe2009	Philippe2009	cct-G	8
Borowiec2015	Best108	OG408.fasta.aln_gene49	Borowiec2015	Best108	OG408.fasta.aln_gene49	44
Borowiec2015	Best108	OG408.fasta.aln_gene49	Borowiec2015	Total1080	OG408.fasta.aln_gene466	44
Borowiec2015	Best108	OG423.fasta.aln_gene50	Borowiec2015	Best108	OG423.fasta.aln_gene50	36
Borowiec2015	Best108	OG423.fasta.aln_gene50	Borowiec2015	Total1080	OG423.fasta.aln_gene483	36
Borowiec2015	Best108	OG423.fasta.aln_gene50	Chang2015	Chang2015	fibri	16
Borowiec2015	Best108	OG423.fasta.aln_gene50	Philippe2009	Philippe2009	fibri	15
Borowiec2015	Best108	OG423.fasta.aln_gene50	Simion2017	supermatrix_97sp_401632pos_1719genes	V2META14219-42-Calc_Hmm10-BMGE05	1
Borowiec2015	Best108	OG423.fasta.aln_gene50	Whelan2015	Dataset10_CertainPruned_LBAtaxa_LBAandHeteroGenesPruned	Gene_0542	2
Borowiec2015	Best108	OG423.fasta.aln_gene50	Whelan2015	Dataset1_FullData	Gene_0542	2
Borowiec2015	Best108	OG423.fasta.aln_gene50	Whelan2015	Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa	Gene_0542	2
Borowiec2015	Best108	OG423.fasta.aln_gene50	Whelan2017	Metazoa_Choano_RCFV_strict	Subset16_01	3
Borowiec2015	Best108	OG423.fasta.aln_gene50	Whelan2017	Metazoa_full	Subset32_03	3
Borowiec2015	Best108	OG427.fasta.aln_gene51	Borowiec2015	Best108	OG427.fasta.aln_gene51	36
Borowiec2015	Best108	OG427.fasta.aln_gene51	Borowiec2015	Total1080	OG427.fasta.aln_gene487	36
Borowiec2015	Best108	OG427.fasta.aln_gene51	Dunn2008	Dunn2008	Tribe868	6
Borowiec2015	Best108	OG427.fasta.aln_gene51	Philippe2009	Philippe2009	psma-C	9
Borowiec2015	Best108	OG427.fasta.aln_gene51	Ryan2013	est.opisthokonta	gene95	11
Borowiec2015	Best108	OG427.fasta.aln_gene51	Simion2017	supermatrix_97sp_401632pos_1719genes	V2META14917-42-Calc_Hmm10-BMGE05	9
Borowiec2015	Best108	OG43.fasta.aln_gene54	Borowiec2015	Best108	OG43.fasta.aln_gene54	27
Borowiec2015	Best108	OG43.fasta.aln_gene54	Borowiec2015	Total1080	OG43.fasta.aln_gene500	27
Borowiec2015	Best108	OG430.fasta.aln_gene52	Borowiec2015	Best108	OG430.fasta.aln_gene52	32
Borowiec2015	Best108	OG430.fasta.aln_gene52	Borowiec2015	Total1080	OG430.fasta.aln_gene491	32
Borowiec2015	Best108	OG430.fasta.aln_gene52	Dunn2008	Dunn2008	Tribe700	9
Borowiec2015	Best108	OG430.fasta.aln_gene52	Hejnol2009	Hejnol2009	Tribe926_0	12
Borowiec2015	Best108	OG430.fasta.aln_gene52	Ryan2013	est.opisthokonta	gene140	14
Borowiec2015	Best108	OG430.fasta.aln_gene52	Simion2017	supermatrix_97sp_401632pos_1719genes	V2META14188-42-Calc_Hmm10-BMGE05	10
Borowiec2015	Best108	OG438.fasta.aln_gene53	Borowiec2015	Best108	OG438.fasta.aln_gene53	29
Borowiec2015	Best108	OG438.fasta.aln_gene53	Borowiec2015	Total1080	OG438.fasta.aln_gene498	29
Borowiec2015	Best108	OG438.fasta.aln_gene53	Hejnol2009	Hejnol2009	Tribe1748_0	3
Borowiec2015	Best108	OG438.fasta.aln_gene53	Ryan2013	genome.opisthokonta	gene86	4
Borowiec2015	Best108	OG440.fasta.aln_gene55	Borowiec2015	Best108	OG440.fasta.aln_gene55	47
Borowiec2015	Best108	OG440.fasta.aln_gene55	Borowiec2015	Total1080	OG440.fasta.aln_gene501	47
Borowiec2015	Best108	OG440.fasta.aln_gene55	Chang2015	Chang2015	rps16	22
Borowiec2015	Best108	OG440.fasta.aln_gene55	Dunn2008	Dunn2008	Tribe242	11
Borowiec2015	Best108	OG440.fasta.aln_gene55	Nosenko2013	ribosomal_11057_smatrix	KOG1753	10
Borowiec2015	Best108	OG440.fasta.aln_gene55	Nosenko2013	ribosomal_14615_smatrix	KOG1753	11
Borowiec2015	Best108	OG444.fasta.aln_gene56	Borowiec2015	Best108	OG444.fasta.aln_gene56	33
Borowiec2015	Best108	OG444.fasta.aln_gene56	Borowiec2015	Total1080	OG444.fasta.aln_gene505	33
Borowiec2015	Best108	OG467.fasta.aln_gene57	Borowiec2015	Best108	OG467.fasta.aln_gene57	50
Borowiec2015	Best108	OG467.fasta.aln_gene57	Borowiec2015	Total1080	OG467.fasta.aln_gene528	50
Borowiec2015	Best108	OG474.fasta.aln_gene58	Borowiec2015	Best108	OG474.fasta.aln_gene58	28
Borowiec2015	Best108	OG474.fasta.aln_gene58	Borowiec2015	Total1080	OG474.fasta.aln_gene536	28
Borowiec2015	Best108	OG482.fasta.aln_gene59	Borowiec2015	Best108	OG482.fasta.aln_gene59	54
Borowiec2015	Best108	OG482.fasta.aln_gene59	Borowiec2015	Total1080	OG482.fasta.aln_gene545	54
Borowiec2015	Best108	OG482.fasta.aln_gene59	Hejnol2009	Hejnol2009	Tribe1795_0	1
Borowiec2015	Best108	OG482.fasta.aln_gene59	Ryan2013	est.opisthokonta	gene289	1
Borowiec2015	Best108	OG49.fasta.aln_gene61	Borowiec2015	Best108	OG49.fasta.aln_gene61	11
Borowiec2015	Best108	OG49.fasta.aln_gene61	Borowiec2015	Total1080	OG49.fasta.aln_gene563	11
Borowiec2015	Best108	OG496.fasta.aln_gene60	Borowiec2015	Best108	OG496.fasta.aln_gene60	60
Borowiec2015	Best108	OG496.fasta.aln_gene60	Borowiec2015	Total1080	OG496.fasta.aln_gene560	60
Borowiec2015	Best108	OG5.fasta.aln_gene77	Borowiec2015	Best108	OG5.fasta.aln_gene77	33
Borowiec2015	Best108	OG5.fasta.aln_gene77	Borowiec2015	Total1080	OG5.fasta.aln_gene666	33
Borowiec2015	Best108	OG5.fasta.aln_gene77	Chang2015	Chang2015	cct	12
Borowiec2015	Best108	OG5.fasta.aln_gene77	Philippe2009	Philippe2009	cct-B	9
Borowiec2015	Best108	OG513.fasta.aln_gene63	Borowiec2015	Best108	OG513.fasta.aln_gene63	36
Borowiec2015	Best108	OG513.fasta.aln_gene63	Borowiec2015	Total1080	OG513.fasta.aln_gene576	36
Borowiec2015	Best108	OG518.fasta.aln_gene64	Borowiec2015	Best108	OG518.fasta.aln_gene64	33
Borowiec2015	Best108	OG518.fasta.aln_gene64	Borowiec2015	Total1080	OG518.fasta.aln_gene581	33
Borowiec2015	Best108	OG518.fasta.aln_gene64	Hejnol2009	Hejnol2009	Tribe1263_0	8
Borowiec2015	Best108	OG518.fasta.aln_gene64	Ryan2013	est.opisthokonta	gene53	12
Borowiec2015	Best108	OG518.fasta.aln_gene64	Ryan2013	genome.opisthokonta	gene224	10
Borowiec2015	Best108	OG518.fasta.aln_gene64	Simion2017	supermatrix_97sp_401632pos_1719genes	V2META11141-2-42-Calc_Hmm10-BMGE05	11
Borowiec2015	Best108	OG52.fasta.aln_gene65	Borowiec2015	Best108	OG52.fasta.aln_gene65	32
Borowiec2015	Best108	OG52.fasta.aln_gene65	Borowiec2015	Total1080	OG52.fasta.aln_gene592	32
Borowiec2015	Best108	OG538.fasta.aln_gene66	Borowiec2015	Best108	OG538.fasta.aln_gene66	34
Borowiec2015	Best108	OG538.fasta.aln_gene66	Borowiec2015	Total1080	OG538.fasta.aln_gene601	34
Borowiec2015	Best108	OG538.fasta.aln_gene66	Hejnol2009	Hejnol2009	Tribe5175_0	10
Borowiec2015	Best108	OG548.fasta.aln_gene67	Borowiec2015	Best108	OG548.fasta.aln_gene67	34
Borowiec2015	Best108	OG548.fasta.aln_gene67	Borowiec2015	Total1080	OG548.fasta.aln_gene612	34
Borowiec2015	Best108	OG548.fasta.aln_gene67	Moroz2014	ED3d	0668	1
Borowiec2015	Best108	OG548.fasta.aln_gene67	Ryan2013	genome.opisthokonta	gene195	2
Borowiec2015	Best108	OG548.fasta.aln_gene67	Simion2017	supermatrix_97sp_401632pos_1719genes	V2META14578-42-Calc_Hmm10-BMGE05	2
Borowiec2015	Best108	OG548.fasta.aln_gene67	Whelan2017	Metazoa_full	Subset5_09	11
Borowiec2015	Best108	OG553.fasta.aln_gene68	Borowiec2015	Best108	OG553.fasta.aln_gene68	34
Borowiec2015	Best108	OG553.fasta.aln_gene68	Borowiec2015	Total1080	OG553.fasta.aln_gene616	34
Borowiec2015	Best108	OG553.fasta.aln_gene68	Chang2015	Chang2015	rpl16b	15
Borowiec2015	Best108	OG553.fasta.aln_gene68	Nosenko2013	ribosomal_11057_smatrix	KOG3204	19
Borowiec2015	Best108	OG553.fasta.aln_gene68	Nosenko2013	ribosomal_14615_smatrix	KOG3204	15
Borowiec2015	Best108	OG553.fasta.aln_gene68	Ryan2013	est.opisthokonta	gene63	7
Borowiec2015	Best108	OG553.fasta.aln_gene68	Simion2017	supermatrix_97sp_401632pos_1719genes	V2META14169-42-Calc_Hmm10-BMGE05	12
Borowiec2015	Best108	OG557.fasta.aln_gene69	Borowiec2015	Best108	OG557.fasta.aln_gene69	31
Borowiec2015	Best108	OG557.fasta.aln_gene69	Borowiec2015	Total1080	OG557.fasta.aln_gene619	31
Borowiec2015	Best108	OG559.fasta.aln_gene70	Borowiec2015	Best108	OG559.fasta.aln_gene70	24
Borowiec2015	Best108	OG559.fasta.aln_gene70	Borowiec2015	Total1080	OG559.fasta.aln_gene621	24
Borowiec2015	Best108	OG561.fasta.aln_gene71	Borowiec2015	Best108	OG561.fasta.aln_gene71	34
