manuscript	dataset	partition_name	cluster_number
Philippe2009	Philippe2009	psma-E	1
Chang2015	Chang2015	psmb_01	1
Hejnol2009	Hejnol2009	Tribe916_0	1
Chang2015	Chang2015	ef1_01	2
Whelan2017	Metazoa_full	Subset4_19	2
Whelan2017	Metazoa_full	Subset4_12	2
Moroz2014	ED3d	0518	2
Whelan2017	Metazoa_full	Subset2_11	2
Borowiec2015	Best108	OG438.fasta.aln_gene53	2
Ryan2013	genome.opisthokonta	gene86	2
Whelan2017	Metazoa_full	Subset2_09	2
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META13838-42-Calc_Hmm10-BMGE05	2
Hejnol2009	Hejnol2009	Tribe1748_0	2
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META10402-2-2-42-Calc_Hmm10-BMGE05	2
Whelan2017	Metazoa_full	Subset29_02	2
Borowiec2015	Total1080	OG438.fasta.aln_gene498	2
Whelan2017	Metazoa_full	Subset30_02	2
Whelan2017	Metazoa_Choano_RCFV_strict	Subset5_01	2
Whelan2017	Metazoa_full	Subset2_15	2
Moroz2014	ED3a	0518	2
Whelan2017	Metazoa_full	Subset37_02	2
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META10197-2-2-2-2-42-Calc_Hmm10-BMGE05	2
Whelan2017	Metazoa_full	Subset29_05	2
Whelan2017	Metazoa_full	Subset4_21	2
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META13215-42-Calc_Hmm10-BMGE05	2
Whelan2017	Metazoa_full	Subset29_01	2
Whelan2017	Metazoa_full	Subset2_20	2
Whelan2017	Metazoa_full	Subset2_23	2
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META13728-42-Calc_Hmm10-BMGE05	3
Whelan2017	Metazoa_full	Subset2_12	3
Ryan2013	est.opisthokonta	gene150	3
Ryan2013	est.opisthokonta	gene172	3
Philippe2009	Philippe2009	ornamtrans-a	3
Philippe2009	Philippe2009	psma-B	3
Ryan2013	est.opisthokonta	gene23	3
Philippe2009	Philippe2009	orf2	3
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META14414-42-Calc_Hmm10-BMGE05	3
Borowiec2015	Total1080	OG79.fasta.aln_gene876	3
Philippe2009	Philippe2009	psma-A	3
Whelan2017	Metazoa_full	Subset32_04	3
Philippe2009	Philippe2009	nsf2-A	3
Ryan2013	est.opisthokonta	gene395	3
Borowiec2015	Best108	OG79.fasta.aln_gene94	3
Moroz2014	ED3a	0861	3
Chang2015	Chang2015	psma	3
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META14938-42-Calc_Hmm10-BMGE05	3
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META13674-42-Calc_Hmm10-BMGE05	3
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META14579-42-Calc_Hmm10-BMGE05	3
Borowiec2015	Total1080	OG78.fasta.aln_gene866	3
Ryan2013	est.opisthokonta	gene76	3
Chang2015	Chang2015	psma_01	3
Borowiec2015	Total1080	OG299.fasta.aln_gene349	4
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META13293-42-Calc_Hmm10-BMGE05	4
Ryan2013	genome.opisthokonta	gene48	4
Ryan2013	est.opisthokonta	gene104	4
Whelan2017	Metazoa_full	Subset23_04	4
Borowiec2015	Best108	OG1130.fasta.aln_gene8	4
Whelan2017	Metazoa_full	Subset29_07	4
Whelan2017	Metazoa_full	Subset23_03	4
Whelan2017	Metazoa_full	Subset2_04	4
Nosenko2013	ribosomal_14615_smatrix	KOG3424	4
Nosenko2013	ribosomal_11057_smatrix	KOG3424	4
Ryan2013	est.opisthokonta	gene365	4
Dunn2008	Dunn2008	Tribe243	4
Whelan2017	Metazoa_Choano_RCFV_strict	Subset4_01	4
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META11066-1-42-Calc_Hmm10-BMGE05	4
Moroz2014	ED3a	0376	4
Borowiec2015	Total1080	OG1130.fasta.aln_gene122	4
Whelan2017	Metazoa_full	Subset29_06	4
Whelan2017	Metazoa_full	Subset2_16	4
Hejnol2009	Hejnol2009	Tribe2987_0	4
Hejnol2009	Hejnol2009	Tribe2262_0	4
Chang2015	Chang2015	rps24	4
Philippe2009	Philippe2009	cct-Z	5
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META10144-2-2-1-42-Calc_Hmm10-BMGE05	5
Ryan2013	est.opisthokonta	gene106	5
Borowiec2015	Total1080	OG6.fasta.aln_gene771	5
Philippe2009	Philippe2009	cct-N	5
Philippe2009	Philippe2009	cct-T	5
Moroz2014	ED3a	0900	5
Borowiec2015	Total1080	OG3.fasta.aln_gene457	5
Borowiec2015	Best108	OG6.fasta.aln_gene88	5
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META12513-42-Calc_Hmm10-BMGE05	5
Philippe2009	Philippe2009	cct-E	5
Borowiec2015	Best108	OG4.fasta.aln_gene62	5
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META13072-42-Calc_Hmm10-BMGE05	5
Borowiec2015	Best108	OG3.fasta.aln_gene48	5
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META10144-2-1-42-Calc_Hmm10-BMGE05	5
Chang2015	Chang2015	cct_01	5
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META10144-2-2-2-2-42-Calc_Hmm10-BMGE05	5
Philippe2009	Philippe2009	cct-D	5
Philippe2009	Philippe2009	cct-A	5
Ryan2013	genome.opisthokonta	gene94	5
Borowiec2015	Total1080	OG4.fasta.aln_gene564	5
Philippe2009	Philippe2009	cct-G	5
Whelan2017	Metazoa_full	Subset1_02	6
Chang2015	Chang2015	srp54	6
Nosenko2013	ribosomal_14615_smatrix	KOG1749	6
Nosenko2013	ribosomal_14615_smatrix	KOG1754	6
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META14531-42-Calc_Hmm10-BMGE05	6
Chang2015	Chang2015	rps23	6
Philippe2009	Philippe2009	rps1	6
Whelan2017	Metazoa_full	Subset11_03	6
Whelan2017	Metazoa_Choano_RCFV_strict	Subset7_01	6
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META13793-42-Calc_Hmm10-BMGE05	6
Nosenko2013	ribosomal_11057_smatrix	KOG1749	6
Dunn2008	Dunn2008	Tribe1244	6
Chang2015	Chang2015	rps22a	6
Whelan2017	Metazoa_full	Subset1_04	6
Whelan2015	Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa	Gene_0843	6
Nosenko2013	ribosomal_11057_smatrix	KOG1754	6
Chang2015	Chang2015	tribe1244	6
Hejnol2009	Hejnol2009	Tribe1273_0	6
Whelan2015	Dataset1_FullData	Gene_0843	6
Whelan2017	Metazoa_full	Subset9_03	6
Whelan2015	Dataset10_CertainPruned_LBAtaxa_LBAandHeteroGenesPruned	Gene_0843	6
Whelan2017	Metazoa_Choano_RCFV_strict	Subset9_01	6
Borowiec2015	Best108	OG144.fasta.aln_gene15	7
Dunn2008	Dunn2008	Tribe225	7
Nosenko2013	ribosomal_11057_smatrix	KOG0886_01	7
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META14768-42-Calc_Hmm10-BMGE05	7
Nosenko2013	ribosomal_11057_smatrix	KOG3387	7
Ryan2013	est.opisthokonta	gene120	7
Nosenko2013	ribosomal_14615_smatrix	KOG3387	7
Ryan2013	est.opisthokonta	gene9	7
Nosenko2013	ribosomal_11057_smatrix	KOG3166	7
Hejnol2009	Hejnol2009	Tribe275_0	7
Nosenko2013	ribosomal_14615_smatrix	KOG0886_01	7
Dunn2008	Dunn2008	Tribe169	7
Chang2015	Chang2015	l12e_01	7
Philippe2009	Philippe2009	l12e-C	7
Philippe2009	Philippe2009	l12e-A	7
Borowiec2015	Total1080	OG144.fasta.aln_gene183	7
Nosenko2013	ribosomal_14615_smatrix	KOG3166	7
Philippe2009	Philippe2009	l12e-D	7
Borowiec2015	Total1080	OG310.fasta.aln_gene362	7
Borowiec2015	Total1080	OG77.fasta.aln_gene855	7
Whelan2015	Dataset1_FullData	Gene_0571	8
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META10203-1-1-42-Calc_Hmm10-BMGE05	8
Whelan2017	Metazoa_Choano_RCFV_strict	Subset30	8
Chang2015	Chang2015	nsf1_01	8
Philippe2009	Philippe2009	nsf1-C	8
Moroz2014	ED3a	0774	8
Whelan2017	Metazoa_full	Subset39_01	8
Whelan2015	Dataset10_CertainPruned_LBAtaxa_LBAandHeteroGenesPruned	Gene_0891	8
Chang2015	Chang2015	nsf1	8
Whelan2015	Dataset1_FullData	Gene_0891	8
Philippe2009	Philippe2009	nsf1-I	8
Philippe2009	Philippe2009	mra1	8
Philippe2009	Philippe2009	nsf1-G	8
Philippe2009	Philippe2009	nsf1-J	8
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META10203-2-2-1-42-Calc_Hmm10-BMGE05	8
Whelan2017	Metazoa_Choano_RCFV_strict	Subset6_01	9
Borowiec2015	Total1080	OG553.fasta.aln_gene616	9
Chang2015	Chang2015	rpl16b	9
Chang2015	Chang2015	rpl17	9
Philippe2009	Philippe2009	pyrdehydroe1b-mt	9
Philippe2009	Philippe2009	psmb-N	9
Nosenko2013	ribosomal_14615_smatrix	KOG3204	9
Nosenko2013	ribosomal_14615_smatrix	KOG3353	9
Dunn2008	Dunn2008	Tribe200	9
Nosenko2013	ribosomal_11057_smatrix	KOG3204	9
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META14169-42-Calc_Hmm10-BMGE05	9
Nosenko2013	ribosomal_11057_smatrix	KOG3353	9
Borowiec2015	Best108	OG553.fasta.aln_gene68	9
Ryan2013	est.opisthokonta	gene63	9
Whelan2017	Metazoa_full	Subset18_02	10
Borowiec2015	Total1080	OG689.fasta.aln_gene758	10
Whelan2015	Dataset10_CertainPruned_LBAtaxa_LBAandHeteroGenesPruned	Gene_0703	10
Whelan2017	Metazoa_Choano_RCFV_strict	Subset14_01	10
Whelan2015	Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa	Gene_0703	10
Whelan2017	Metazoa_full	Subset20_02	10
Whelan2015	Dataset1_FullData	Gene_0703	10
Hejnol2009	Hejnol2009	Tribe1658_0	10
Borowiec2015	Best108	OG689.fasta.aln_gene87	10
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META13794-42-Calc_Hmm10-BMGE05	10
Whelan2017	Metazoa_full	Subset20_04	10
Whelan2017	Metazoa_full	Subset18_06	10
Ryan2013	est.opisthokonta	gene173	10
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META13732-42-Calc_Hmm10-BMGE05	11
Chang2015	Chang2015	rpl5	11
Ryan2013	est.opisthokonta	gene71	11
Philippe2009	Philippe2009	rpl3	11
Whelan2017	Metazoa_full	Subset2_08	11
Nosenko2013	ribosomal_11057_smatrix	KOG0875	11
Whelan2017	Metazoa_full	Subset24_03	11
Nosenko2013	ribosomal_14615_smatrix	KOG0875	11
Hejnol2009	Hejnol2009	Tribe1172_0	11
Whelan2017	Metazoa_Choano_RCFV_strict	Subset19_01	11
Whelan2017	Metazoa_full	Subset31_04	11
Borowiec2015	Total1080	OG202.fasta.aln_gene245	11
Borowiec2015	Total1080	OG44.fasta.aln_gene511	11
Whelan2015	Dataset10_CertainPruned_LBAtaxa_LBAandHeteroGenesPruned	Gene_0063	12
Nosenko2013	ribosomal_11057_smatrix	KOG1723	12
Whelan2015	Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa	Gene_0063	12
Whelan2015	Dataset1_FullData	Gene_0063	12
Borowiec2015	Best108	OG594.fasta.aln_gene75	12
Nosenko2013	ribosomal_14615_smatrix	KOG1723	12
Borowiec2015	Total1080	OG594.fasta.aln_gene659	12
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META14926-42-Calc_Hmm10-BMGE05	12
Whelan2017	Metazoa_full	Subset2_03	12
Chang2015	Chang2015	rpl24	12
Moroz2014	ED3a	0063	12
Philippe2009	Philippe2009	rpl15a	12
Nosenko2013	ribosomal_11057_smatrix	KOG0407	13
Ryan2013	genome.opisthokonta	gene36	13
Philippe2009	Philippe2009	rpl4B	13
Chang2015	Chang2015	rps14	13
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META12944-42-Calc_Hmm10-BMGE05	13
Nosenko2013	ribosomal_11057_smatrix	KOG0400	13
Whelan2017	Metazoa_Choano_RCFV_strict	Subset16	13
Nosenko2013	ribosomal_14615_smatrix	KOG0400	13
Dunn2008	Dunn2008	Tribe272	13
Nosenko2013	ribosomal_14615_smatrix	KOG0407	13
Chang2015	Chang2015	rps13a	13
Whelan2017	Metazoa_full	Subset9_02	13
Ryan2013	genome.opisthokonta	gene238	14
Borowiec2015	Total1080	OG378.fasta.aln_gene432	14
Moroz2014	ED3a	0483	14
Whelan2017	Metazoa_full	Subset31_01	14
Chang2015	Chang2015	orf2	14
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META13108-42-Calc_Hmm10-BMGE05	14
Moroz2014	ED3d	0483	14
Whelan2017	Metazoa_Choano_RCFV_strict	Subset26	14
Borowiec2015	Best108	OG378.fasta.aln_gene45	14
Ryan2013	est.opisthokonta	gene391	14
Hejnol2009	Hejnol2009	Tribe2779_0	14
Borowiec2015	Total1080	OG633.fasta.aln_gene698	15
Nosenko2013	ribosomal_14615_smatrix	KOG1678	15
Dunn2008	Dunn2008	Tribe325	15
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META12945-42-Calc_Hmm10-BMGE05	15
Borowiec2015	Best108	OG633.fasta.aln_gene80	15
Ryan2013	est.opisthokonta	gene161	15
Philippe2009	Philippe2009	psmb-M	15
Chang2015	Chang2015	rpl15a	15
Nosenko2013	ribosomal_11057_smatrix	KOG1678	15
Nosenko2013	ribosomal_14615_smatrix	KOG3421	15
Chang2015	Chang2015	rpl14a	15
Nosenko2013	ribosomal_14615_smatrix	KOG1790	16
Philippe2009	Philippe2009	rpl21	16
Hejnol2009	Hejnol2009	Tribe387_0	16
Chang2015	Chang2015	rpl34	16
Chang2015	Chang2015	rpl33a	16
Ryan2013	est.opisthokonta	gene107	16
Dunn2008	Dunn2008	Tribe356	16
Nosenko2013	ribosomal_11057_smatrix	KOG0887	16
Nosenko2013	ribosomal_14615_smatrix	KOG0887	16
Dunn2008	Dunn2008	Tribe268	16
Nosenko2013	ribosomal_11057_smatrix	KOG1790	16
Whelan2017	Metazoa_full	Subset2_01	17
Whelan2015	Dataset10_CertainPruned_LBAtaxa_LBAandHeteroGenesPruned	Gene_0017	17
Ryan2013	est.opisthokonta	gene195	17
Whelan2015	Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa	Gene_0017	17
Borowiec2015	Best108	OG298.fasta.aln_gene35	17
Moroz2014	ED3a	0017	17
Ryan2013	genome.opisthokonta	gene28	17
Hejnol2009	Hejnol2009	Tribe1786_0	17
Borowiec2015	Total1080	OG298.fasta.aln_gene348	17
Whelan2015	Dataset1_FullData	Gene_0017	17
Whelan2015	Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa	Gene_0542	18
Borowiec2015	Best108	OG423.fasta.aln_gene50	18
Philippe2009	Philippe2009	fibri	18
Chang2015	Chang2015	fibri	18
Whelan2015	Dataset10_CertainPruned_LBAtaxa_LBAandHeteroGenesPruned	Gene_0542	18
Whelan2017	Metazoa_full	Subset32_03	18
Whelan2015	Dataset1_FullData	Gene_0542	18
Borowiec2015	Total1080	OG423.fasta.aln_gene483	18
Whelan2017	Metazoa_Choano_RCFV_strict	Subset16_01	18
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META14219-42-Calc_Hmm10-BMGE05	18
Hejnol2009	Hejnol2009	Tribe5088_0	19
Whelan2015	Dataset10_CertainPruned_LBAtaxa_LBAandHeteroGenesPruned	Gene_0668	19
Borowiec2015	Total1080	OG548.fasta.aln_gene612	19
Ryan2013	genome.opisthokonta	gene195	19
Moroz2014	ED3d	0668	19
Whelan2015	Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa	Gene_0668	19
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META14578-42-Calc_Hmm10-BMGE05	19
Borowiec2015	Best108	OG548.fasta.aln_gene67	19
Whelan2017	Metazoa_full	Subset5_09	19
Whelan2015	Dataset1_FullData	Gene_0668	19
Nosenko2013	ribosomal_14615_smatrix	KOG0893	20
Nosenko2013	ribosomal_11057_smatrix	KOG0893	20
Chang2015	Chang2015	rpl31	20
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META13596-42-Calc_Hmm10-BMGE05	20
Chang2015	Chang2015	rpl30	20
Nosenko2013	ribosomal_11057_smatrix	KOG2988	20
Nosenko2013	ribosomal_14615_smatrix	KOG2988	20
Dunn2008	Dunn2008	Tribe345	20
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META14574-42-Calc_Hmm10-BMGE05	20
Philippe2009	Philippe2009	rpl2	20
Borowiec2015	Total1080	OG561.fasta.aln_gene623	21
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META14419-42-Calc_Hmm10-BMGE05	21
Ryan2013	est.opisthokonta	gene47	21
Whelan2017	Metazoa_Choano_RCFV_strict	Subset18_01	21
Hejnol2009	Hejnol2009	Tribe1731_0	21
Ryan2013	genome.opisthokonta	gene194	21
Whelan2017	Metazoa_full	Subset20_06	21
Whelan2017	Metazoa_full	Subset2_18	21
Borowiec2015	Best108	OG561.fasta.aln_gene71	21
Moroz2014	ED3a	0032	22
Borowiec2015	Best108	OG85.fasta.aln_gene100	22
Chang2015	Chang2015	mcm_01	22
Borowiec2015	Total1080	OG85.fasta.aln_gene940	22
Ryan2013	genome.opisthokonta	gene63	22
Ryan2013	est.opisthokonta	gene24	22
Borowiec2015	Best108	OG86.fasta.aln_gene101	22
Borowiec2015	Total1080	OG86.fasta.aln_gene951	22
Ryan2013	est.opisthokonta	gene112	22
Whelan2015	Dataset10_CertainPruned_LBAtaxa_LBAandHeteroGenesPruned	Gene_0129	23
Dunn2008	Dunn2008	Tribe740	23
Ryan2013	est.opisthokonta	gene160	23
Hejnol2009	Hejnol2009	Tribe967_0	23
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META15328-42-Calc_Hmm10-BMGE05	23
Moroz2014	ED3d	0129	23
Borowiec2015	Total1080	OG904.fasta.aln_gene990	23
Whelan2015	Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa	Gene_0129	23
Whelan2015	Dataset1_FullData	Gene_0129	23
Dunn2008	Dunn2008	Tribe279	24
Nosenko2013	ribosomal_14615_smatrix	KOG1751	24
Chang2015	Chang2015	rpl25	24
Philippe2009	Philippe2009	rpl16b	24
Nosenko2013	ribosomal_14615_smatrix	KOG3401	24
Nosenko2013	ribosomal_11057_smatrix	KOG3401	24
Chang2015	Chang2015	rpl26	24
Ryan2013	est.opisthokonta	gene167	24
Nosenko2013	ribosomal_11057_smatrix	KOG0901	24
Moroz2014	ED3d	0487	25
Borowiec2015	Total1080	OG448.fasta.aln_gene509	25
Moroz2014	ED3a	0487	25
Ryan2013	genome.opisthokonta	gene99	25
Whelan2015	Dataset1_FullData	Gene_0487	25
Whelan2017	Metazoa_full	Subset4_10	25
Whelan2015	Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa	Gene_0487	25
Whelan2015	Dataset10_CertainPruned_LBAtaxa_LBAandHeteroGenesPruned	Gene_0487	25
Whelan2015	Dataset1_FullData	Gene_0084	26
Whelan2015	Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa	Gene_0084	26
Whelan2015	Dataset10_CertainPruned_LBAtaxa_LBAandHeteroGenesPruned	Gene_0084	26
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META14141-42-Calc_Hmm10-BMGE05	26
Hejnol2009	Hejnol2009	Tribe1521_0	26
Borowiec2015	Total1080	OG478.fasta.aln_gene540	26
Ryan2013	est.opisthokonta	gene336	26
Whelan2017	Metazoa_full	Subset13_01	26
Chang2015	Chang2015	if4a_01	27
Philippe2009	Philippe2009	if4a-a	27
Nosenko2013	ribosomal_11057_smatrix	KOG0327	27
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META10102-2-2-2-42-Calc_Hmm10-BMGE05	27
Nosenko2013	ribosomal_14615_smatrix	KOG0327	27
Philippe2009	Philippe2009	if4a-b	27
Nosenko2013	ribosomal_14615_smatrix	KOG0328	27
Chang2015	Chang2015	if4a	27
Whelan2017	Metazoa_full	Subset1_01	28
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META14109-42-Calc_Hmm10-BMGE05	28
Whelan2015	Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa	Gene_0007	28
Hejnol2009	Hejnol2009	Tribe1463_0	28
Whelan2015	Dataset1_FullData	Gene_0007	28
Ryan2013	est.opisthokonta	gene166	28
Whelan2015	Dataset10_CertainPruned_LBAtaxa_LBAandHeteroGenesPruned	Gene_0007	28
Chang2015	Chang2015	if6	28
Nosenko2013	ribosomal_11057_smatrix	KOG3475	29
Philippe2009	Philippe2009	rpl24-A	29
Nosenko2013	ribosomal_14615_smatrix	KOG3475	29
Chang2015	Chang2015	rpl37a	29
Dunn2008	Dunn2008	Tribe241	29
Whelan2015	Dataset10_CertainPruned_LBAtaxa_LBAandHeteroGenesPruned	Gene_0277	29
Whelan2015	Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa	Gene_0277	29
Whelan2015	Dataset1_FullData	Gene_0277	29
Nosenko2013	ribosomal_14615_smatrix	KOG0877	30
Nosenko2013	ribosomal_11057_smatrix	KOG0900	30
Nosenko2013	ribosomal_11057_smatrix	KOG0877	30
Nosenko2013	ribosomal_14615_smatrix	KOG0900	30
Philippe2009	Philippe2009	rpp0	30
Chang2015	Chang2015	rps20	30
Dunn2008	Dunn2008	Tribe236	30
Chang2015	Chang2015	rps2	30
Whelan2015	Dataset1_FullData	Gene_0690	31
Dunn2008	Dunn2008	Tribe961	31
Whelan2015	Dataset10_CertainPruned_LBAtaxa_LBAandHeteroGenesPruned	Gene_0690	31
Whelan2015	Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa	Gene_0690	31
Ryan2013	est.opisthokonta	gene192	31
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META13240-42-Calc_Hmm10-BMGE05	31
Chang2015	Chang2015	tribe961	31
Hejnol2009	Hejnol2009	Tribe963_0	31
Whelan2017	Metazoa_full	Subset32_01	32
Whelan2015	Dataset10_CertainPruned_LBAtaxa_LBAandHeteroGenesPruned	Gene_0511	32
Hejnol2009	Hejnol2009	Tribe2055_0	32
Whelan2015	Dataset1_FullData	Gene_0511	32
Whelan2017	Metazoa_Choano_RCFV_strict	Subset27	32
Ryan2013	est.opisthokonta	gene214	32
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META13819-42-Calc_Hmm10-BMGE05	32
Whelan2015	Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa	Gene_0511	32
Whelan2017	Metazoa_full	Subset21_07	33
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META12747-42-Calc_Hmm10-BMGE05	33
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META11690-42-Calc_Hmm10-BMGE05	33
Whelan2017	Metazoa_full	Subset2_05	33
Ryan2013	est.opisthokonta	gene373	33
Whelan2017	Metazoa_full	Subset21_06	33
Whelan2017	Metazoa_Choano_RCFV_strict	Subset3_01	33
Whelan2017	Metazoa_full	Subset2_22	33
Dunn2008	Dunn2008	Tribe896	34
Ryan2013	est.opisthokonta	gene261	34
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META12821-42-Calc_Hmm10-BMGE05	34
Borowiec2015	Best108	OG218.fasta.aln_gene25	34
Chang2015	Chang2015	tribe896	34
Borowiec2015	Total1080	OG218.fasta.aln_gene261	34
Hejnol2009	Hejnol2009	Tribe1063_0	34
Moroz2014	ED3a	0097	35
Dunn2008	Dunn2008	Tribe1381	35
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META13434-42-Calc_Hmm10-BMGE05	35
Borowiec2015	Total1080	OG28.fasta.aln_gene339	35
Ryan2013	est.opisthokonta	gene78	35
Borowiec2015	Best108	OG28.fasta.aln_gene32	35
Hejnol2009	Hejnol2009	Tribe1531_0	35
